Datum,DAX_Kurs_return_5d,VIX_Kurs_return_5d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_5d,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_5d,Expedia_Kurs_return_5d,Airbnb_Kurs_return_5d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_5d,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday
2023-01-10,2.24375556289857,-0.704917665165297,-0.6157288158365354,-0.558787426251972,1.3282825224875663,4.781105772942271,3.728871969418582,1.54303035128135,2.311860201814831,1.2630292880395895,0.7267114593710103,0.9617787552380613,1.073578483105389,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-11,1.6433602879061264,-0.32416424212496237,1.5655873736371275,1.463586385309597,0.6938715316264419,1.7397162536387105,2.0513653336538837,0.6925360606189456,1.2418529054407879,1.4644572309323967,1.1456637391000857,1.6396887185088505,1.6872477074351264,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-12,2.3195336073150923,-1.0907904619607955,1.7118490372087718,1.496432363687627,0.6642492285512143,1.991433381660038,2.1830536565098084,0.7710432259108598,1.1837904940096384,1.7764031601911685,2.278386569478696,2.194342324821314,2.1683340746565873,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-13,1.7074801716431833,-0.8988139461421395,2.1531557807439055,1.9304685065401677,1.3430936740251802,1.3956258676279054,3.102845942303496,1.8720127582188948,1.2916206866674875,2.1168698601250284,2.4917418971185032,1.5521118333016193,1.660731136013471,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-16,1.1537175393685992,-1.1112679569814523,1.7824581161743933,1.6372008424506133,1.1653598555738145,1.095412779162102,2.647001747802219,2.227164220253745,0.9073028205279736,2.1899543349799404,2.3132992594561195,1.7402399570801157,2.0205988910216504,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-17,1.4335133956757575,-0.4361505430191784,1.8328931725784086,1.5738550270072695,1.3332195730001044,0.9106662631831464,2.120248456378521,2.5729695911824146,1.1506119731918385,2.0901316376171333,2.6837616919943295,1.4320990646843026,1.7024000339617866,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-18,0.7165365138886642,-0.28448909552244017,0.7031479091284654,0.6189755127316795,2.525517271778015,0.6820424496591885,2.3471575665302677,2.83092170571299,0.6335800237811255,0.6801360373674841,1.2639789662457965,0.043843254732638615,-0.24088584308238206,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-19,-0.7290754103649876,0.517972740599542,0.6375823358032454,0.5720526864773509,2.360126079607994,0.10932825012442539,0.7527158728746907,1.903789467979908,0.4621576662224934,0.5410972803264316,0.014880502609109378,-0.014541335405515448,-0.25225008797737714,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-20,-0.39681783100023693,0.4661390813285049,0.6955826506678631,0.4195535011507824,2.3502519785829183,0.1878455194154816,0.7648717180613913,1.346762438051564,0.260321664580878,0.7229171933801157,0.071128725350513,0.8028429265286418,0.24020052413907883,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-23,-0.3152107062439824,0.45270072522119903,0.8594965839809129,0.508706871034007,2.2663221198697734,0.4580372990347045,0.2563521944177448,1.0289953404414351,0.9487759715502235,1.4680223272667825,0.8314495293032792,1.2277529992007634,0.596280197515593,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-24,-0.5542030001730135,-0.10979046612746317,0.06010093997726995,-0.021521065639907827,2.426776261527256,0.13934955897100573,1.376715925791994,1.0869411052997526,0.5533985984714428,1.2897675105474842,0.441591157888723,1.516432361550525,0.8576578301004812,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-25,-0.5775193215319434,-0.45278850772346196,0.33749375019935424,0.1896316525045715,1.0172483401976766,1.1161967622097346,3.2487160845439047,0.7000129335038897,0.8796540531798073,2.0045693255918704,0.5327520706075496,2.320842270120648,1.9107445237033642,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-26,0.6349293891324096,-0.6146887027305287,0.382885300962968,0.19197779381728797,1.0345280169915594,0.6058345118178692,3.5505862400136388,0.7990814992294005,1.1257280825784888,1.4555444900964316,1.91374291860339,2.5024832172171276,2.2554599521848835,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-27,0.25603916704979934,-0.4886241240096111,-0.2803356907498335,-0.47667248030689663,0.4914524606123868,0.4095413385902286,2.4606121216061414,0.1766318315577949,1.1616714801311052,0.6284421405188876,2.701218036983041,1.2180222341777376,1.3690488503752625,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-30,-0.1053638140136136,-0.014442129937530676,-0.9410349296424342,-1.0772846563623044,0.1705441772974212,-0.8374976442677233,2.0777029982250688,-0.6476934040073044,0.14972659518821207,-0.17905217921953354,0.6801612060677797,0.19304831841903242,0.5243066465139571,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-31,-0.05873117129575385,0.009874895399499088,-0.479554163545694,-0.3757884038600899,0.18535532883503497,-1.202372013326161,0.9208717312907172,-0.9934987749359742,0.10825344416596239,-0.2877876174183055,1.194153586290951,0.6439070978192223,1.0432738300520685,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-02-01,0.19191928331274222,-0.4623873335143947,-0.9612089522040403,-1.1030922108021852,0.1779497530662281,-0.9691295369027294,-1.3137778088644307,-0.9897603384935021,0.37921136417799384,0.07050456418748403,1.667414494873795,0.34549697044643474,1.092518891263714,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-02,1.2586409854837837,-0.05667696341763501,-1.5286033367492127,-1.492551668713114,0.46183015753715917,-0.24399946168532768,-0.799180362627434,-0.41777956279526984,0.011482758447379688,0.5678355028343262,1.5083677960877573,0.06979196146070712,0.5280947281456223,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-03,1.0604522539328796,-0.11874937019900045,-1.9547795633631422,-1.858549713496878,0.4124596524117799,-0.3040420793784883,-0.5540374846956362,-0.2757189779813299,-0.3617756007528678,0.23449899556923845,0.35624902683280024,-0.2059130475250205,0.28565750371905935,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-06,0.6524166301516071,-0.22049692358288817,-1.1629491778201018,-1.150015037056514,0.4272708039493937,0.7189917528549796,-0.2643231744126025,0.5336525118138811,0.11654807437041234,0.38958068611502794,1.4656967305597959,-0.014541335405515448,0.6114325240422532,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-07,0.5474931840364227,-0.30048713850732817,-0.23998764562662123,-0.521249165248509,-0.10839917666097199,1.4302658393739596,-0.43653098122419604,0.4345839460883702,0.3460328433601942,0.7674808975599403,1.3919921628296807,0.0049201946405358936,0.5432470546722825,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-08,0.6932201925297343,0.5736459301869522,0.68549563938706,0.626013936669829,0.03477528820262804,1.02151417277052,-0.21164784527023273,0.3392538168053315,-0.4889599305544336,0.036636149010817375,0.2980612102037621,-0.47513087982873103,-0.29391898592569266,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-09,-0.1403382960520084,0.6197202939834298,0.7157566732294692,0.6658983389860084,-0.39721663164444104,0.044666969531790834,-0.6553361945848089,0.10186310270835279,-0.46684091667590044,-0.7013387922070775,-0.6911316724898878,-0.4589129381236882,0.6871941566755542,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-10,-0.8281697761404394,0.7112290998569891,2.0346333981944698,2.017275735110676,-1.201955865188124,-0.4472206292621791,-1.4333102865336544,-0.49254829164471203,-1.459431664475077,-1.813648848535499,-1.7113580573856912,-0.7930025372475699,-0.17648845534407626,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-13,0.00538871244130329,0.2428064012594684,1.7496753295117835,1.9023148107875707,-0.6810970361153722,-0.20243149559006257,-1.1294141568661367,-0.599093730255167,-0.7820368644449982,-1.3074051690526918,-0.42152812210867735,0.16061243500894679,0.4485450138806563,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-14,0.03453411413996562,0.029072546981364692,0.5694950096578247,0.5767449691027837,0.00021593461486251435,-0.21397815283874733,0.07401451661723407,0.03644046496509096,-0.4364272725929173,-0.9312875057749723,0.08664547645158986,0.8547403399847788,0.5470351363039474,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-15,0.16277388161407988,-0.5129411493466408,0.08531846817927763,0.02774790192713735,-0.044217519997978884,-0.4402926349129682,0.7405600276879899,1.0009570671228942,0.7856482441960412,-0.6300368655193582,3.337404832127192,1.0007018153301637,1.1417639524753598,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-16,-0.15199645673147333,-0.22369653217986576,0.1912320866277098,0.12159355443579486,-0.12814737871112372,-0.3548473712727011,0.5582223498874792,1.1598406159279586,0.39027087111726044,-1.0881517444879547,4.025960662237478,-0.059951572179635294,-0.9000120469921,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-17,0.4717151396199006,-0.215377549827724,-0.9889482332262487,-1.0022081343553786,0.8962906026404972,0.13704022752126876,1.7332873846018817,2.7692375044122004,1.0814900548214224,0.06693946785309807,3.944497718956824,-0.008054158723498323,-0.47953498587728,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-20,0.11031215855648768,-0.15714467336273166,-1.051992053731268,-1.1195151999912005,0.09155136909681426,-0.13315155209795415,0.8074171762148439,1.9206124319710325,0.1884348694756452,-0.5355618126581301,2.4238561110512915,-0.5691949417179792,-0.9454690265720807,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-21,-0.12868013537254347,1.283319116996584,-0.7468599624869752,-0.8684780795305416,0.11870514691577289,-1.0268628231461532,-0.38790760047739314,1.4888230228655042,-0.7654476040360985,-1.2254079533618143,1.1631200840887972,-2.119630168720071,-2.0932577609665897,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-22,-0.5950065625511408,1.3684287056761881,-1.4126027070199774,-1.391667592266307,-0.2836644698560686,-1.3062919285643237,-1.202349227986341,0.6252442046544476,-1.2437712791593785,-1.380489643907604,-1.4921839480829806,-2.022322518489814,-2.460701679238099,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-23,-0.4084759916797019,0.25112538361161013,-0.8679040978566119,-0.9341700362866019,0.17301270255369017,-0.38025001721980756,-0.5763232008712541,1.2177863807862763,-0.9949323730258801,-0.8902888979295337,-2.0391494243959403,-0.8611178924087496,-1.0060783326787213,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-24,-1.2187181589025147,0.47061853336427356,0.04749217587626612,-0.014482641701758517,-0.14542705550500648,-0.9160149135587795,-1.2874401442932462,-0.18225806691952726,-0.3645404774876844,-0.9134620241030424,-1.4049022231394233,-0.5627077650359622,-0.6689390674605323,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-27,-0.5542030001730135,0.2408866361012819,-0.16685681384079903,-0.20921237065722278,0.6593121780386764,-0.5834711847966589,-0.10224523858992629,0.6121596771057952,0.40686013152616035,-0.49991084931427043,-1.2943453715442506,-0.6989384753583215,-0.5515085368789159,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-28,-0.3152107062439824,-0.6639626751239837,0.25427590713272896,0.2670543158242139,0.42973932920566266,0.0769976098281081,0.06996256822166717,0.8869347556274949,0.8658296695057238,0.002767733834150692,-0.9335809084442136,-0.42323346637259407,-0.11587914923743552,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-03-01,-0.5542030001730135,-0.5474969221939989,1.159585169584804,1.179703286470908,1.049339168529173,0.8298396624423532,0.6838327501500533,1.245824654104817,1.1754958638051882,-0.4517820488000599,-1.0790504500168092,-0.36809246457544853,0.19095546292743318,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
