Datum,DAX_Kurs_return_5d,VIX_Kurs_return_5d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_5d,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_5d,Expedia_Kurs_return_5d,Airbnb_Kurs_return_5d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_5d
2023-01-10,2.24375556289857,-0.704917665165297,-0.6157288158365354,-0.558787426251972,1.3282905130681883,4.781105772942271,3.7288789861692995,1.54303035128135,2.3118578091817557,1.263025871451483,0.7267114593710103,0.9617787552380613,1.073578483105389
2023-01-11,1.6433602879061264,-0.32416424212496237,1.5655873736371275,1.463586385309597,0.693878049729309,1.7397162536387105,2.051367381798386,0.6925360606189456,1.241849076103156,1.4644538346374194,1.1456637391000857,1.6396887185088505,1.6872477074351264
2023-01-12,2.3195336073150923,-1.0907904619607955,1.7118490372087718,1.496432363687627,0.6642556779002562,1.991433381660038,2.1830560947018998,0.7710432259108598,1.183786586711294,1.7763997953236037,2.278386569478696,2.194342324821314,2.1683340746565873
2023-01-13,1.7074801716431833,-0.8988139461421395,2.1531557807439055,1.9304685065401677,1.343101698982715,1.3956258676279054,3.1028511048279803,1.8720127582188948,1.2916169241533235,2.1168665295582394,2.4917418971185032,1.5521118333016193,1.660731136013471
2023-01-16,1.1537175393685992,-1.1112679569814523,1.7824581161743933,1.6372008424506133,1.1653674680083983,1.095412779162102,2.6470055601619715,2.227164220253745,0.9072985419881417,2.189951011776145,2.3132992594561195,1.7402399570801157,2.0205988910216504
2023-01-17,1.4335133956757575,-0.4361505430191784,1.8328931725784086,1.5738550270072695,1.3332275750396974,0.9106662631831464,2.1202507085479163,2.5729695911824146,1.1506080213445158,2.090128304356566,2.6837616919943295,1.4320990646843026,1.7024000339617866
2023-01-18,0.7165365138886642,-0.28448909552244017,0.7031479091284654,0.6189755127316795,2.52552804115907,0.6820424496591885,2.3471604907816634,2.83092170571299,0.633575377712221,0.6801325620550128,1.2639789662457965,0.043843254732638615,-0.24088584308238206
2023-01-19,-0.7290754103649876,0.517972740599542,0.6375823358032454,0.5720526864773509,2.3601364651135253,0.10932825012442539,0.7527140745498897,1.903789467979908,0.4621527899838665,0.5410937910063136,0.014880502609109378,-0.014541335405515448,-0.25225008797737714
2023-01-20,-0.39681783100023693,0.4661390813285049,0.6955826506678631,0.4195535011507824,2.3502623411705077,0.1878455194154816,0.7648699557409833,1.346762438051564,0.2603165173359652,0.7229137223776896,0.071128725350513,0.8028429265286418,0.24020052413907883
2023-01-23,-0.3152107062439824,0.45270072522119903,0.8594965839809129,0.508706871034007,2.2663322876548584,0.4580372990347045,0.2563489259135688,1.0289953404414351,0.9487717486966146,1.4680189313309757,0.8314495293032792,1.2277529992007634,0.596280197515593
2023-01-24,-0.5542030001730135,-0.10979046612746317,0.06010093997726995,-0.021521065639907827,2.426786801728894,0.13934955897100573,1.3767159756926932,1.0869411052997526,0.5533938447425069,1.2897640966531558,0.441591157888723,1.516432361550525,0.8576578301004812
2023-01-25,-0.5775193215319434,-0.45278850772346196,0.33749375019935424,0.1896316525045715,1.0172556088631348,1.1161967622097346,3.248721679121104,0.7000129335038897,0.8796497375158265,2.004565983711213,0.5327520706075496,2.320842270120648,1.9107445237033642
2023-01-26,0.6349293891324096,-0.6146887027305287,0.382885300962968,0.19197779381728797,1.0345353257634156,0.6058345118178692,3.5505927286999275,0.7990814992294005,1.125724097319432,1.4555410929035282,1.91374291860339,2.5024832172171276,2.2554599521848835
2023-01-27,0.25603916704979934,-0.4886241240096111,-0.2803356907498335,-0.47667248030689663,0.4914585088974486,0.4095413385902286,2.4606153818985366,0.1766318315577949,1.1616675431334418,0.6284386599984452,2.701218036983041,1.2180222341777376,1.3690488503752625
2023-01-30,-0.1053638140136136,-0.014442129937530676,-0.9410349296424342,-1.0772846563623044,0.17054948074937726,-0.8374976442677233,2.077705124379089,-0.6476934040073044,0.14972129944670426,-0.17905574109207767,0.6801612060677797,0.19304831841903242,0.5243066465139571
2023-01-31,-0.05873117129575385,0.009874895399499088,-0.479554163545694,-0.3757884038600899,0.1853606666639036,-1.202372013326161,0.9208704310266842,-0.9934987749359742,0.10824809273823144,-0.2877911902455476,1.194153586290951,0.6439070978192223,1.0432738300520685
2023-02-01,0.19191928331274222,-0.4623873335143947,-0.9612089522040403,-1.1030922108021852,0.17795507370664043,-0.9691295369027294,-1.3137857279360179,-0.9897603384935021,0.3792063765669207,0.0705010274568698,1.667414494873795,0.34549697044643474,1.092518891263714
2023-02-02,1.2586409854837837,-0.05667696341763501,-1.5286033367492127,-1.492551668713114,0.4618361370683958,-0.24399946168532768,-0.7991867575130565,-0.41777956279526984,0.011477277085128076,0.5678320162079865,1.5083677960877573,0.06979196146070712,0.5280947281456223
