Datum,DAX_Kurs_return_5d,VIX_Kurs_return_5d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_5d,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday
2023-01-10,2.24375556289857,-0.704917665165297,-0.6157288158365354,-0.558787426251972,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-11,1.6433602879061264,-0.32416424212496237,1.5655873736371275,1.463586385309597,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-12,2.3195336073150923,-1.0907904619607955,1.7118490372087718,1.496432363687627,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-13,1.7074801716431833,-0.8988139461421395,2.1531557807439055,1.9304685065401677,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-16,1.1537175393685992,-1.1112679569814523,1.7824581161743933,1.6372008424506133,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-17,1.4335133956757575,-0.4361505430191784,1.8328931725784086,1.5738550270072695,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-18,0.7165365138886642,-0.28448909552244017,0.7031479091284654,0.6189755127316795,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-19,-0.7290754103649876,0.517972740599542,0.6375823358032454,0.5720526864773509,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-20,-0.39681783100023693,0.4661390813285049,0.6955826506678631,0.4195535011507824,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-23,-0.3152107062439824,0.45270072522119903,0.8594965839809129,0.508706871034007,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-24,-0.5542030001730135,-0.10979046612746317,0.06010093997726995,-0.021521065639907827,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-25,-0.5775193215319434,-0.45278850772346196,0.33749375019935424,0.1896316525045715,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-26,0.6349293891324096,-0.6146887027305287,0.382885300962968,0.19197779381728797,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-27,0.25603916704979934,-0.4886241240096111,-0.2803356907498335,-0.47667248030689663,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-30,-0.1053638140136136,-0.014442129937530676,-0.9410349296424342,-1.0772846563623044,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-01-31,-0.05873117129575385,0.009874895399499088,-0.479554163545694,-0.3757884038600899,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-02-01,0.19191928331274222,-0.4623873335143947,-0.9612089522040403,-1.1030922108021852,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-02,1.2586409854837837,-0.05667696341763501,-1.5286033367492127,-1.492551668713114,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-03,1.0604522539328796,-0.11874937019900045,-1.9547795633631422,-1.858549713496878,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-06,0.6524166301516071,-0.22049692358288817,-1.1629491778201018,-1.150015037056514,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-07,0.5474931840364227,-0.30048713850732817,-0.23998764562662123,-0.521249165248509,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-08,0.6932201925297343,0.5736459301869522,0.68549563938706,0.626013936669829,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-09,-0.1403382960520084,0.6197202939834298,0.7157566732294692,0.6658983389860084,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-10,-0.8281697761404394,0.7112290998569891,2.0346333981944698,2.017275735110676,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-13,0.00538871244130329,0.2428064012594684,1.7496753295117835,1.9023148107875707,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-14,0.03453411413996562,0.029072546981364692,0.5694950096578247,0.5767449691027837,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-15,0.16277388161407988,-0.5129411493466408,0.08531846817927763,0.02774790192713735,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-16,-0.15199645673147333,-0.22369653217986576,0.1912320866277098,0.12159355443579486,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-17,0.4717151396199006,-0.215377549827724,-0.9889482332262487,-1.0022081343553786,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-20,0.11031215855648768,-0.15714467336273166,-1.051992053731268,-1.1195151999912005,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-21,-0.12868013537254347,1.283319116996584,-0.7468599624869752,-0.8684780795305416,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-22,-0.5950065625511408,1.3684287056761881,-1.4126027070199774,-1.391667592266307,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-23,-0.4084759916797019,0.25112538361161013,-0.8679040978566119,-0.9341700362866019,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-24,-1.2187181589025147,0.47061853336427356,0.04749217587626612,-0.014482641701758517,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-27,-0.5542030001730135,0.2408866361012819,-0.16685681384079903,-0.20921237065722278,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-02-28,-0.3152107062439824,-0.6639626751239837,0.25427590713272896,0.2670543158242139,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,3.356827770816756,-0.10987463131972623
2023-03-01,-0.5542030001730135,-0.5474969221939989,1.159585169584804,1.179703286470908,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-02,-0.7523917317239175,-0.5257395837345513,0.7788004937344883,0.8535896440033233,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-03,1.2178374231056563,-0.995442125770863,0.8090615275768975,1.0248579598316232,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-06,0.838947201023046,-0.771469523982431,1.1394111470231978,1.4753170918731793,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-07,0.5474931840364227,-0.3996750050136338,-0.1819873307620036,0.15443953281382494,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-08,1.0546231735931473,-0.5135810710660363,-0.4946846804668986,-0.3194810123548954,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-09,0.9671869684971603,0.9300823278902569,-0.9410349296424342,-0.7394403073311376,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-10,-0.7582208120636498,2.1273758648792755,-0.8956433788788204,-0.891939492657706,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-13,-2.775082609611083,2.6629903440133256,-1.5840818987936296,-1.6567815606032645,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-14,-1.4169068904534188,1.295477629665099,-1.7681698546682854,-1.8984341158130578,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-15,-3.5386921341160362,2.2975950422384837,-2.73652293762538,-2.7782371080817216,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-16,-2.675988243835631,0.05082988544081237,-2.128780507956995,-2.290239715036703,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-17,-2.6876464045150965,0.12634064832948375,-2.9886982196454563,-3.048043359044112,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-20,-0.29189438488505254,-0.62876698055723,-2.179215564361011,-2.25270145403324,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-21,-0.33852702760291226,-0.6901994656192,-0.6939031532627591,-0.6643637853242116,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-22,1.7074801716431833,-1.0063207950005868,1.0259322701141635,1.1351266015292958,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
2023-03-23,0.7573400762667913,-0.16226404711789583,0.4081028291649757,0.5462451320374699,-0.15633271741258933,-0.1812573017717774,-0.5845329474144934,-0.3219473514410063,-0.29790030000754764,-0.10987463131972623
