Feature,Coefficient
WTIOil_Kurs_return_5d,0.46437956925352514
DAX_Kurs_return_5d,-0.16986754512330626
VIX_Kurs_return_5d,-0.1885725854514085
BrentOil_Kurs_return_5d,-0.5241793577976424
