Datum,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_5d,Expedia_Kurs_return_5d,Airbnb_Kurs_return_5d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_5d
2023-01-10,1.3282905130681883,4.781105772942271,3.7288789861692995,1.54303035128135,2.311860201814831,1.2630342126092433,0.7267114593710103,0.9617787552380613,1.073578483105389
2023-01-11,0.693878049729309,1.7397162536387105,2.051367381798386,0.6925360606189456,1.2418529054407879,1.4644623757012958,1.1456637391000857,1.6396887185088505,1.6872477074351264
2023-01-12,0.6642556779002562,1.991433381660038,2.1830560947018998,0.7710432259108598,1.1837904940096384,1.7764086459765982,2.278386569478696,2.194342324821314,2.1683340746565873
2023-01-13,1.343101698982715,1.3956258676279054,3.1028511048279803,1.8720127582188948,1.2916206866674875,2.116875718105643,2.4917418971185032,1.5521118333016193,1.660731136013471
2023-01-16,1.1653674680083983,1.095412779162102,2.6470055601619715,2.227164220253745,0.9073028205279736,2.1899602728558563,2.3132992594561195,1.7402399570801157,2.0205988910216504
2023-01-17,1.3332275750396974,0.9106662631831464,2.1202507085479163,2.5729695911824146,1.1506119731918385,2.0901374663677594,2.6837616919943295,1.4320990646843026,1.7024000339617866
2023-01-18,2.52552804115907,0.6820424496591885,2.3471604907816634,2.83092170571299,0.6335800237811255,0.6801403247233924,1.2639789662457965,0.043843254732638615,-0.24088584308238206
2023-01-19,2.3601364651135253,0.10932825012442539,0.7527140745498897,1.903789467979908,0.4621576662224934,0.5411014156864005,0.014880502609109378,-0.014541335405515448,-0.25225008797737714
2023-01-20,2.3502623411705077,0.1878455194154816,0.7648699557409833,1.346762438051564,0.260321664580878,0.7229215275040052,0.071128725350513,0.8028429265286418,0.24020052413907883
2023-01-23,2.2663322876548584,0.4580372990347045,0.2563489259135688,1.0289953404414351,0.9487759715502235,1.4680274759330134,0.8314495293032792,1.2277529992007634,0.596280197515593
2023-01-24,2.426786801728894,0.13934955897100573,1.3767159756926932,1.0869411052997526,0.5533985984714428,1.2897724643471262,0.441591157888723,1.516432361550525,0.8576578301004812
2023-01-25,1.0172556088631348,1.1161967622097346,3.248721679121104,0.7000129335038897,0.8796540531798073,2.0045750608065336,0.5327520706075496,2.320842270120648,1.9107445237033642
2023-01-26,1.0345353257634156,0.6058345118178692,3.5505927286999275,0.7990814992294005,1.1257280825784888,1.4555496251220013,1.91374291860339,2.5024832172171276,2.2554599521848835
2023-01-27,0.4914585088974486,0.4095413385902286,2.4606153818985366,0.1766318315577949,1.1616714801311052,0.628446371363485,2.701218036983041,1.2180222341777376,1.3690488503752625
2023-01-30,0.17054948074937726,-0.8374976442677233,2.077705124379089,-0.6476934040073044,0.14972659518821207,-0.17904883112058353,0.6801612060677797,0.19304831841903242,0.5243066465139571
2023-01-31,0.1853606666639036,-1.202372013326161,0.9208704310266842,-0.9934987749359742,0.10825344416596239,-0.2877843881879747,1.194153586290951,0.6439070978192223,1.0432738300520685
2023-02-01,0.17795507370664043,-0.9691295369027294,-1.3137857279360179,-0.9897603384935021,0.37921136417799384,0.07050818509965841,1.667414494873795,0.34549697044643474,1.092518891263714
2023-02-02,0.4618361370683958,-0.24399946168532768,-0.7991867575130565,-0.41777956279526984,0.011482758447379688,0.5678396674242835,1.5083677960877573,0.06979196146070712,0.5280947281456223
2023-02-03,0.41246551735330794,-0.3040420793784883,-0.5540431534926694,-0.2757189779813299,-0.3617756007528678,0.23450279575867455,0.35624902683280024,-0.2059130475250205,0.28565750371905935
2023-02-06,0.4272767032678343,0.7189917528549796,-0.26432798510493927,0.5336525118138811,0.11654807437041234,0.38958465583839635,1.4656967305597959,-0.014541335405515448,0.6114325240422532
2023-02-07,-0.10839452064086938,1.4302658393739596,-0.4365363019787649,0.4345839460883702,0.3460328433601942,0.767485280400477,1.3919921628296807,0.0049201946405358936,0.5432470546722825
2023-02-08,0.03478027653288551,1.02151417277052,-0.21165249994353377,0.3392538168053315,-0.4889599305544336,0.03663973289833987,0.2980612102037621,-0.47513087982873103,-0.29391898592569266
