Datum,EXV9_ETF_Kurs_return_1d,EXV9_ETF_Kurs_return_5d,DAX_Kurs_return_1d,DAX_Kurs_return_5d,VIX_Kurs_return_1d,VIX_Kurs_return_5d,BrentOil_Kurs_return_1d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_1d,WTIOil_Kurs_return_5d,EUR_USD_Kurs_return_1d,EUR_USD_Kurs_return_5d,EUR_CHF_Kurs_return_1d,EUR_CHF_Kurs_return_5d,EUR_GPB_Kurs_return_1d,EUR_GPB_Kurs_return_5d,EUR_TRY_Kurs_return_1d,EUR_TRY_Kurs_return_5d,Lufthansa_Kurs_return_1d,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_1d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_1d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_1d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_1d,Booking_Kurs_return_5d,Expedia_Kurs_return_1d,Expedia_Kurs_return_5d,Uber_Kurs_return_1d,Uber_Kurs_return_5d,Airbnb_Kurs_return_1d,Airbnb_Kurs_return_5d,PrimeEnergyOil_Gas_Kurs_return_1d,PrimeEnergyOil_Gas_Kurs_return_5d,Marriott_Hotels_Kurs_return_1d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_1d,Hilton_Hotels_Kurs_return_5d
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,0.9919146554441483,,0.7989770472832447,,,,,,,,-0.29897675594858786,,-0.11438854528951214,,0.10971180729337782,,0.2951602042225776,,1.0165159997494344,,,,,,1.516970377999205,,,,,,,,,,,,,,,
2023-01-04,2.466104271473024,,2.179647060362777,,-3.8864602815463334,,-5.188796851894306,,-5.316526648980114,,-1.2255395598315344,,0.04256654972289997,,-0.47677788655676734,,-1.4248172232999234,,3.06919293773118,,10.35963605538952,,7.484845291082087,,4.482891765504271,,3.8495008394026087,,3.7750834905066144,,2.1687666554552454,,4.499410631529632,,2.6728913407570998,,1.4280993162522293,,2.2474644115310305,
2023-01-05,0.6668177791917529,,-0.3758990344008506,,2.0445199950535287,,1.091991448491192,,1.139486371202536,,0.5642484981084106,,-0.12459622153926375,,-0.16120299221551448,,0.7299084477201179,,1.7329730706044932,,2.626460610538195,,5.892306313564122,,2.8980070252453194,,1.6347298856611125,,2.2090348470075183,,-1.389427296301271,,-1.1384153768415173,,-0.026830076390860214,,-0.6539158948808743,,-0.7822404910299285,
2023-01-06,1.62493286550216,,1.2032850922975902,,-5.921638370081361,,-0.15250062632974348,,0.13573839637102125,,-0.7933674891517195,,-0.11258238590747816,,0.4286665630185871,,-0.6361079056917962,,-0.17995013823113304,,3.0094860463329987,,-0.9052164515661487,,0.2926112774673362,,1.5995639567222275,,1.193553442678441,,3.3268117684982057,,0.9234951169178052,,2.577189937394264,,3.0225318575347604,,2.6884368424784144,
2023-01-09,2.2507394512579104,8.248004701841417,1.25126832639737,5.142916717394597,3.9753913201642233,,1.374572782550021,,1.1657864301019893,,1.2745001629152375,-0.4987101479345002,0.2802450226928377,-0.02935886182703351,-0.4302313057604201,-0.5315905825552747,1.279838681867962,0.2207393055801754,1.213801069340792,7.013979756793365,1.2422337481023504,,4.486830287041754,,0.9117432505630685,10.459085505109345,1.3380895469932597,,-0.3612836020054577,,3.787878842612158,,0.8133769182192108,,1.0206817552172787,,-0.5541704667549663,,-0.8982857475520856,
2023-01-10,-0.049810136439232267,7.131433830256917,-0.12323854633440323,4.180958171825844,-6.326806705012156,-10.131003202929866,0.564967909129277,-2.436053638454605,0.6565798086527685,-2.3527850661817507,0.7212636696105612,0.5194864061155435,0.08404073401568901,0.16923933448795836,0.1375846306445716,-0.5038963123924156,0.5538850012431817,0.47927212392648855,-0.6768007825093125,5.2201288595902895,2.5221406900484356,21.095001100525778,0.951402916897548,18.969695393843857,-0.8312234969358734,7.904051139443902,0.5678276565709073,9.287420750377517,0.9278059920405424,7.937954066346653,2.3357711894427924,10.567824292882122,-0.7843982126834792,4.287396141611266,1.3212233324071398,7.770717054011089,0.4130329506255581,3.6616027112709837,0.294405694808475,3.54315210683378
2023-01-11,-0.3786722690121036,4.157133285938297,1.173030413392917,3.1546257288190827,2.4781352321307404,-4.179918522157545,3.208489068391862,6.2050386154804515,3.0484569113404802,6.274035631494779,0.05368935499137084,1.8213151677288986,0.2043625772020663,0.3312402262970915,0.321356791657168,0.29402088737158216,0.14515400086405617,2.079569089308264,0.5499148803420395,2.64827635666276,-1.6400550871339292,7.928025709445885,0.0,10.68508781089963,0.0728810132136104,3.3496401952229027,0.1737944827618909,5.419241665200691,4.860539013769571,9.066951938188762,1.1055615400166419,9.417215547769775,6.663656499741699,6.447251061768844,1.0994872652491994,6.119191678433422,3.466978662209508,5.745379319150046,3.8467596150240313,5.1627137015595626
2023-01-12,1.5054402929195687,5.024832482813002,0.7384955307036201,4.3085127216590635,-10.71598014476316,-16.16206281716255,1.645095730584445,6.786117895811317,1.265980727525462,6.406951728000432,0.25192926532231485,1.50509190240955,1.1651147870566092,1.6268375418579728,0.20487325377547272,0.66176629058321,0.3559282400328323,1.7005779928509268,1.6169288598655296,2.531188082782676,3.6615510658925876,9.016587749025984,6.520631131486199,11.341851178008987,3.3139176442118057,3.7673763017445294,1.4365262744741703,5.213657664435023,3.8492335903338892,10.817203056157254,2.3985901094387474,13.620358330724258,4.288432144922938,12.290501529836684,0.9357538340928118,7.140952082562313,0.959165125970185,7.462365609640642,0.4165361229732545,6.433318908474606
2023-01-13,0.39419925062811334,3.752924220849563,0.18740313932197328,3.2614603901164774,-2.5491213180092953,-13.156644059213562,1.4875639868603407,8.540154143483702,1.8752407604907262,8.255394122832115,0.8753345079312025,3.212455062358699,0.49601535206296177,2.2460332816458983,0.3998666370603754,0.6328995186225095,0.8711260766862017,3.243256766271174,2.4920961371497574,5.275807822067224,0.5760247333779001,6.441216693992224,3.1324680297409424,15.878550775336642,5.992241118441766,9.664477064758792,1.9749235836147072,5.602369561877185,2.9400324280296264,12.7297746555191,1.412331511244913,11.515155149447608,1.908828229860382,13.386812644489442,0.8519038224215514,5.3389062565280865,1.1188227293484454,5.476614700019544,1.3925731562693056,5.090197158673537
