Datum,Inflation_Gesamt,Inflation_Restaurants_Hotels,Inflation_Transport,ECDC_Europa_Inzidenz,CentralEurope_Temp,HolidayDestination_Temp,CentralEurope_Sunshine,HolidayDestination_Sunshine,CentralEurope_Precipitation,HolidayDestination_Precipitation
2023-01-10,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.9483475694747361,-1.272665118659537,-1.346872549471089,-0.8497946812352061,0.11102531796837516,-0.21436053870721247
2023-01-11,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.7590543839803742,-1.1828278326017534,-1.0379925073507437,-2.0380268661721272,0.9124644364537235,3.9952781638510597
2023-01-12,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.49695612714202675,-1.3625024047173206,-1.4498325635112042,-1.3250875552099743,1.5681873515780993,4.278279085031448
2023-01-13,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.5843222127548092,-1.3325566426980595,-0.7548524687404268,-1.99841912667423,-0.07111993623284035,0.24551595821091818
2023-01-16,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.1958848120442866,-1.1678549515921228,-0.9092924898005997,-1.4043030342057692,0.6574610805720217,-0.14361030841211544
2023-01-17,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.4288610403450395,-0.9432617364476636,-0.7033724617203695,-1.1270488577204876,-0.326123292114542,0.9530182611618883
2023-01-18,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.5890321973018076,-1.34752952370769,-1.0379925073507437,-1.2062643367162824,0.0745962671281322,1.0945187217520824
2023-01-19,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.661837268645793,-1.4523396907751045,-0.7291124652303982,-0.7705792022394109,-0.28969424127429894,-0.461986344740052
2023-01-20,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.8074474113337637,-1.34752952370769,-0.8835524862905708,-1.483518513201564,0.366028673850077,-0.21436053870721247
2023-01-23,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.8914502903504273,-1.5599101687642132,-1.8416345970255006,-1.6814925951014634,-0.7705792022394109,-0.9089881055584317,-0.320485884149858
2023-01-24,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.8914502903504273,-1.6035932115706046,-1.781743072986978,-1.7844526091415784,-1.3250875552099743,-0.9089881055584317,-0.5681116901826976
2023-01-25,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.8914502903504273,-1.5744711830330105,-1.5870956198617798,-1.990372637221809,-0.8101869417373082,-0.9089881055584317,-0.5681116901826976
2023-01-26,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.8914502903504273,-1.5307881402266192,-1.632014262890672,-1.6042725845713768,-0.6121482442478212,-0.6175556988364869,-0.6388619204777946
2023-01-27,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.8914502903504273,-1.5162271259578222,-1.6469871439003025,-1.9131526266917223,-1.3250875552099743,-0.690413800516973,0.7761426854241457
2023-01-30,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.984189492170303,-1.268689883388272,-1.8566074780351312,-1.140952521390859,-0.3348940677625399,-0.28969424127429894,-0.6034868053302461
2023-01-31,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.984189492170303,-1.1522017692378952,-1.706878667938825,-1.2696525389410027,-0.2556785887667454,-0.326123292114542,-0.6742370356253431
2023-02-01,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.984189492170303,-0.9629085837435332,-1.6469871439003025,-0.8835524862905708,-0.3348940677625399,0.0017381654476459135,-0.6742370356253431
2023-02-02,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.984189492170303,-1.0211526408187215,-1.5870956198617798,-1.0637325108607723,-0.21607084926884745,-0.14397803791332647,-0.6742370356253431
2023-02-03,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.984189492170303,-0.8464204695931565,-1.5571498578425187,-1.835932616161636,-0.29528632826464263,1.094609690654939,-0.6742370356253431
2023-02-06,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1478469071465542,-1.8802524826777491,-1.632014262890672,-0.08561237747967844,-1.0082256392267954,-0.8725590547181885,-0.03748496296946991
2023-02-07,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1478469071465542,-2.040423639634517,-1.6919057869291945,0.22326766464066683,-0.9686178997288978,-0.9089881055584317,2.014271715588343
2023-02-08,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1478469071465542,-2.069545668172111,-1.706878667938825,0.3777076857008399,-0.8894024207331034,-0.9089881055584317,0.24551595821091818
2023-02-09,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1478469071465542,-1.8802524826777491,-1.751797310967717,0.06882764358049419,-0.8497946812352061,-0.9089881055584317,-0.6742370356253431
2023-02-10,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1478469071465542,-1.4871050974202278,-1.781743072986978,-0.7291124652303982,-0.1764631097709502,-0.9089881055584317,-0.6388619204777946
2023-02-13,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0714734468243037,-0.9774695980123304,-1.6469871439003025,-0.42023242311005266,-0.09724763077515572,-0.9089881055584317,-0.6742370356253431
2023-02-14,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0714734468243037,-1.268689883388272,-1.5571498578425187,-0.16283238800976477,-0.7705792022394109,-0.9089881055584317,-0.6742370356253431
2023-02-15,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0714734468243037,-1.4288610403450395,-1.4074210477462126,0.12030765060055204,-0.29528632826464263,-0.9089881055584317,-0.6742370356253431
2023-02-16,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0714734468243037,-1.0648356836251127,-1.3625024047173206,-0.6004124476802541,-0.6913637232436164,-0.6175556988364869,-0.5681116901826976
2023-02-17,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0714734468243037,-0.36590699872285304,-1.3625024047173206,-1.7844526091415784,-0.05763989127725848,-0.5082685463157575,-0.6742370356253431
2023-02-20,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1423916599806792,-0.7153713411739829,-1.0031532604861861,-0.8063324757604845,-0.13685537027305297,-0.47183949547551446,-0.6742370356253431
2023-02-21,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1423916599806792,-0.49695612714202675,-0.9732074984669248,-0.47171243013011027,-0.4933250257541295,-0.7632719021974593,-0.6388619204777946
2023-02-22,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1423916599806792,-0.6716882983675916,-1.0181261414958167,-0.8063324757604845,-0.05763989127725848,-0.7268428513572162,-0.6388619204777946
2023-02-23,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1423916599806792,-0.72993235544278,-1.1379091895728615,-1.0122525038407149,-0.8101869417373082,-0.7632719021974593,-0.4266112295925036
2023-02-24,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.1423916599806792,-0.8464204695931565,-1.197800713611384,-0.6518924547003118,-0.21607084926884745,0.14745436880861829,-0.14361030841211544
2023-02-27,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.2242203674688048,-1.6181542258394017,-1.6170413818810414,-0.1885723915197937,-1.2458720762141795,-0.8361300038779454,3.8891528184084145
2023-02-28,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.2242203674688048,-1.6327152401081986,-1.4074210477462126,0.30048767517075337,-1.483518513201564,-0.6539847496767299,2.757149133686862
2023-03-01,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,1.2242203674688048,-1.6327152401081986,-1.4373668097654737,0.24900766815069597,-0.018032151779360534,-0.9089881055584317,0.6346422248339518
2023-03-02,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,1.2242203674688048,-1.4434220546138368,-1.4223939287558431,0.4806676997409547,-0.8101869417373082,-0.9089881055584317,-0.49736145988760055
2023-03-03,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,1.2242203674688048,-1.4579830688826338,-1.3026108806787984,-0.24005239853985108,-0.05763989127725848,-0.9089881055584317,0.10401549762072418
2023-03-06,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,1.3333253107863057,-1.3269339404634601,-1.1379091895728615,-0.9350324933106284,-0.8497946812352061,0.03816721628788905,-0.03748496296946991
