Datum,EXV9_ETF_Kurs,DAX_Kurs,VIX_Kurs,BrentOil_Kurs,WTIOil_Kurs,EUR_USD_Kurs,EUR_CHF_Kurs,EUR_GPB_Kurs,EUR_TRY_Kurs,Lufthansa_Kurs,Ryanair_Kurs,EasyJet_Kurs,Air France-KLM_Kurs,Booking_Kurs,Expedia_Kurs,Uber_Kurs,Airbnb_Kurs,PrimeEnergyOil_Gas_Kurs,Marriott_Hotels_Kurs,Hilton_Hotels_Kurs,AWAY-ETF_Kurs,Article Count,All Articles,News_Sentiment,Mallorca,wellness,airbnb,hotel,camping,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday
2023-01-02,17.28760528564453,14069.259765625,,,,1.0709733963012695,0.9879000186920166,0.8841400146484375,19.95490074157715,6.8969316482543945,,,12.524999618530272,,,,,,,,,,,,2.0,3.0,10.0,75.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,17.459081649780273,14181.669921875,22.899999618530277,82.0999984741211,76.93000030517578,1.0677714347839355,0.98676997423172,0.8851100206375122,20.0137996673584,6.967040061950684,28.544567108154297,329.8045654296875,12.71500015258789,79.79769134521484,86.60575103759766,25.36000061035156,84.9000015258789,35.77608871459961,142.80935668945312,123.78790283203124,16.5492000579834,,,,2.0,3.0,10.0,75.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,17.889646530151367,14490.7802734375,22.01000022888184,77.83999633789062,72.83999633789062,1.0546854734420776,0.987190008163452,0.8808900117874146,19.728639602661133,7.180871963500977,31.501678466796875,354.4899597167969,13.28499984741211,82.86949920654297,89.87519073486328,25.90999984741211,88.72000122070312,36.73234558105469,144.84881591796875,126.56998443603516,17.107486724853516,,,,2.0,3.0,10.0,75.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,18.008930206298828,14436.3095703125,22.459999084472656,78.69000244140625,73.66999816894531,1.0606365203857422,0.9859600067138672,0.8794699907302856,19.87264060974121,7.305314540863037,32.32905960083008,375.3776245117188,13.670000076293944,84.22418975830078,91.86058044433594,25.549999237060547,87.70999908447266,36.72248840332031,143.90158081054688,125.57991790771484,17.107486724853516,,,,2.0,3.0,10.0,75.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,18.30156707763672,14610.01953125,21.1299991607666,78.56999969482422,73.7699966430664,1.0522217750549316,0.9848499894142152,0.8832399845123291,19.74622917175293,7.292169094085693,33.301998138427734,371.9796142578125,13.710000038146973,85.57142639160156,92.95697784423828,26.399999618530277,88.5199966430664,37.66889190673828,148.2510986328125,128.95606994628906,17.436477661132812,,,,2.0,3.0,10.0,75.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,18.713483810424805,14792.830078125,21.96999931335449,79.6500015258789,74.62999725341797,1.0656323432922363,0.9876099824905396,0.8794400095939636,19.99894905090332,7.380681037902832,33.71568298339844,388.6697082519531,13.835000038146973,86.7164306640625,92.6211395263672,27.399999618530277,89.23999786376953,38.05337142944336,147.4295196533203,127.79766082763672,17.446447372436523,,,,2.0,3.0,10.0,78.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,18.704164505004883,14774.599609375,20.57999992370605,80.0999984741211,75.12000274658203,1.073318362236023,0.9884399771690368,0.880649983882904,20.10972023010254,7.330729007720947,34.56604766845703,392.3674926757813,13.720000267028809,87.20882415771484,93.4804916381836,28.040000915527344,88.54000091552734,38.556148529052734,148.03846740722656,128.1739044189453,17.635866165161133,,,,2.0,3.0,10.0,78.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,18.633337020874023,14947.91015625,21.09000015258789,82.66999816894531,77.41000366210938,1.0738946199417114,0.9904599785804749,0.8834800124168396,20.1389102935791,7.371041297912598,33.999141693115234,392.3674926757813,13.729999542236328,87.36040496826172,98.02411651611328,28.350000381469727,94.44000244140624,38.98005294799805,153.1708984375,133.1044158935547,17.675743103027344,,,,2.0,3.0,10.0,78.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,18.91385078430176,15058.2998046875,18.82999992370605,84.02999877929688,78.38999938964844,1.0766000747680664,1.0019999742507937,0.8852900266647339,20.210590362548828,7.490225791931152,35.24403381347656,417.9523620605469,14.1850004196167,88.61536407470703,101.79732513427734,29.030000686645508,98.48999786376952,39.344818115234375,154.6400604248047,133.65882873535156,17.994762420654297,,,,2.0,3.0,10.0,78.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,18.98840713500977,15086.51953125,18.350000381469727,85.27999877929688,79.86000061035156,1.0860239267349243,1.0069700479507446,0.8888300061225891,20.38665008544922,7.676889896392822,35.447044372558594,431.0445861816406,15.03499984741211,90.36546325683594,104.79019165039062,29.440000534057617,100.37000274658205,39.68000793457031,156.37020874023438,135.52020263671875,18.353662490844727,,,,2.0,3.0,10.0,78.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,18.94167137145996,15134.0400390625,18.350000381469727,85.27999877929688,79.86000061035156,1.082461953163147,1.0030299425125122,0.8852699995040894,20.330610275268555,7.717201709747314,35.447044372558594,441.6383056640625,15.4350004196167,90.36546325683594,104.79019165039062,29.440000534057617,100.37000274658205,39.68000793457031,156.37020874023438,135.52020263671875,18.353662490844727,,,,3.0,3.0,10.0,75.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,19.091041564941406,15187.0703125,19.36000061035156,85.91999816894531,80.18000030517578,1.083012938499451,1.00232994556427,0.8870900273323059,20.33662986755371,7.714573383331299,36.06758499145508,435.6418762207031,15.5600004196167,91.64869689941406,105.24457550048828,29.200000762939453,101.2699966430664,39.65043640136719,155.6066131591797,134.83706665039062,18.303815841674805,,,,3.0,3.0,10.0,75.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,19.26374244689941,15181.7998046875,20.34000015258789,84.9800033569336,79.4800033569336,1.0793308019638062,0.9946399927139282,0.8781999945640564,20.232589721679688,8.113316535949707,35.13678741455078,440.0392456054688,15.760000228881836,90.1734390258789,102.59740447998048,28.959999084472656,101.11000061035156,39.03921127319336,154.4467315673828,133.19354248046875,18.293846130371094,,,,3.0,3.0,10.0,75.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
