Datum,Mallorca,wellness,airbnb,hotel,camping
2023-01-10,-1.117327454609336,0.0,0.8485204488233362,0.004865163749334804,-0.30568382534953487
2023-01-11,-1.117327454609336,0.0,0.8485204488233362,0.004865163749334804,-0.30568382534953487
2023-01-12,-1.117327454609336,0.0,0.8485204488233362,0.004865163749334804,-0.30568382534953487
2023-01-13,-1.117327454609336,0.0,0.8485204488233362,0.004865163749334804,-0.30568382534953487
2023-01-16,-0.33566443698973103,0.0,0.005030753649150371,0.27677375996217624,-0.5556984012045204
2023-01-17,-0.33566443698973103,0.0,0.005030753649150371,0.27677375996217624,-0.5556984012045204
2023-01-18,-0.33566443698973103,0.0,0.005030753649150371,0.27677375996217624,-0.5556984012045204
2023-01-19,-0.33566443698973103,0.0,0.005030753649150371,0.27677375996217624,-0.5556984012045204
2023-01-20,-0.33566443698973103,0.0,0.005030753649150371,0.27677375996217624,-0.5556984012045204
2023-01-23,-0.33566443698973103,0.0,0.005030753649150371,0.004865163749334804,-0.5556984012045204
2023-01-24,-0.33566443698973103,0.0,0.005030753649150371,0.004865163749334804,-0.5556984012045204
2023-01-25,-0.33566443698973103,0.0,0.005030753649150371,0.004865163749334804,-0.5556984012045204
2023-01-26,-0.33566443698973103,0.0,0.005030753649150371,0.004865163749334804,-0.5556984012045204
2023-01-27,-0.33566443698973103,0.0,0.005030753649150371,0.004865163749334804,-0.5556984012045204
2023-01-30,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-01-31,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-01,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-02,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-03,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-06,1.2276615982494785,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-07,1.2276615982494785,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-08,1.2276615982494785,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-09,1.2276615982494785,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-10,1.2276615982494785,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-13,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-14,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-15,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-16,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-17,-1.117327454609336,0.0,0.005030753649150371,-0.4029977305699273,-0.5556984012045204
2023-02-20,-0.33566443698973103,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-21,-0.33566443698973103,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-22,-0.33566443698973103,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-23,-0.33566443698973103,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-24,-0.33566443698973103,0.0,0.005030753649150371,-0.8108606248891894,-0.5556984012045204
2023-02-27,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-02-28,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-01,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-02,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-03,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-06,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
