date,News_Sentiment
2025-09-06,-0.3182
2025-10-10,-0.2263
2025-10-28,0.0
2025-11-03,-0.2263
2025-11-04,-0.2263
2025-11-07,0.0
2025-11-10,-0.2263
2025-11-13,0.23224999999999998
2025-11-19,-0.2263
2025-11-20,0.0
2025-11-25,0.5574
2025-12-03,0.0
2026-01-08,-0.765
2026-01-13,0.5574
2026-01-18,0.5574
2026-01-23,-0.09866666666666667
2026-01-25,0.010599999999999998
2026-01-26,0.008040000000000002
2026-01-27,-0.1027
2026-01-28,-0.3818
2026-01-29,-0.41415
2026-02-03,-0.5106
2026-02-04,0.296
2026-02-06,-0.4487
2026-02-10,-0.5994
2026-02-12,-0.4201
2026-02-16,-0.181
2026-02-17,-0.1467
2026-02-18,-0.042666666666666665
2026-02-22,0.30856000000000006
2026-02-23,0.11244285714285716
2026-02-24,0.3592
2026-02-25,0.7184
2026-02-28,0.6241
2026-03-01,-0.5284333333333333
2026-03-02,-0.07543333333333334
2026-03-03,0.0
2026-03-04,-0.0353
2026-03-05,0.04915
2026-03-06,-0.8834
2026-03-07,0.04915
2026-03-08,0.5574
2026-03-10,0.0
2026-03-12,-0.2126
2026-03-14,0.8779
2026-03-15,0.0
2026-03-16,-0.3353333333333333
2026-03-17,-0.10787142857142858
2026-03-18,-0.2894666666666667
2026-03-19,0.0
2026-03-22,0.5574
2026-03-23,-0.11865
2026-03-24,-0.1806
2026-03-25,0.5719
2026-03-26,-0.042666666666666665
2026-03-29,0.6249
2026-03-30,-0.2934
2026-03-31,-0.3612
2026-04-01,0.0634
2026-04-05,-0.4404
2026-04-08,0.1909
2026-04-09,0.1866
2026-04-10,-0.17715
2026-04-11,-0.128
2026-04-12,-0.3612
2026-04-13,-0.41683333333333333
2026-04-14,0.0
2026-04-15,-0.2732
2026-04-16,-0.19666666666666668
2026-04-17,-0.1806
2026-04-20,-0.3818
2026-04-21,-0.20516666666666664
2026-04-22,-0.07694999999999999
2026-04-23,-0.02701666666666667
2026-04-24,0.8176
2026-04-25,-0.13053333333333333
2026-04-27,-0.019500000000000017
2026-04-28,-0.2553
2026-04-29,0.013546153846153848
2026-04-30,0.0256
2026-05-01,-0.3182
2026-05-02,-0.1806
2026-05-03,-0.3818
2026-05-04,-0.22638571428571427
2026-05-05,-0.21681666666666666
2026-05-06,-0.24082857142857142
2026-05-07,-0.3386166666666666
2026-05-08,-0.08024
2026-05-12,-0.08440588235294116
2026-05-13,0.0
2026-05-14,0.08629999999999999
2026-05-15,0.0
2026-05-18,0.04109999999999999
2026-05-19,0.31845
2026-05-20,-0.07373333333333336
2026-05-21,-0.03055555555555555
2026-05-22,-0.159875
2026-05-23,-0.3818
2026-05-24,-0.34
2026-05-25,-0.30965
2026-05-26,-0.04906999999999999
2026-05-27,-0.013400000000000004
2026-05-28,-0.06338
2026-05-29,-0.2510066666666667
2026-05-30,-0.18068076923076923
2026-05-31,0.12020462962962962
