Price,Close,High,Low,Open,Volume
Ticker,EZJ.L,EZJ.L,EZJ.L,EZJ.L,EZJ.L
Date,,,,,
2023-01-03,329.8045959472656,340.3983254321399,326.1067746413872,328.30548414750535,4014409
2023-01-04,354.4899597167969,358.38764404631854,328.80516699490056,331.00387636001824,5055065
2023-01-05,375.3775634765625,381.67382021039475,354.7897573714453,357.68803379655054,6293097
2023-01-06,371.9796142578125,377.07656989715315,360.53937111835177,365.18362257284633,6212893
2023-01-09,388.6697082519531,396.3651609261949,372.63919773676645,375.27764911062326,5789155
2023-01-10,392.3675231933594,395.96539750909477,384.77201752669725,389.76905671535565,4136097
2023-01-11,392.3675231933594,400.0119805683821,387.63833067312623,389.76905671535565,6152141
2023-01-12,417.9523620605469,419.35350937499726,393.42688564506904,395.0658986083091,8091612
2023-01-13,431.0445556640625,440.18916108836896,415.75362910124636,417.9523383780259,7992321
2023-01-16,441.6383056640625,445.43607364628036,424.94821351692696,432.9434760064307,5054996
2023-01-17,435.6418762207031,445.359110705661,426.66419378576126,440.8388092465375,6569055
2023-01-18,440.03924560546875,454.23084867702863,439.73943546291,439.73943546291,6488108
2023-01-19,435.84173583984375,441.7382355997586,429.6174274024816,434.3426241805685,5342276
2023-01-20,449.7335205078125,452.43193383066193,437.04102895145616,439.73944227430553,2869869
2023-01-23,449.7335205078125,457.1291323007064,446.9351908022331,454.73055962456596,4743203
2023-01-24,467.7228698730469,470.4212832451941,450.73293656569257,453.43134993783985,8477598
2023-01-25,513.0960083007812,522.090678840537,479.31600508510576,489.709840497811,19654605
2023-01-26,514.695068359375,521.6909236574636,488.1108121267366,519.6921078580098,8786925
2023-01-27,506.899658203125,521.0912614385095,501.1030745508596,515.2946472867378,8400130
2023-01-30,498.4046936035156,506.49987257140623,488.0738093237296,504.70095068954305,4345936
2023-01-31,491.60870361328125,497.30534042248644,486.61166448222633,495.70628180064756,7227408
2023-02-01,482.7139587402344,494.70685212508494,475.1184534965947,489.6098663366224,4050617
2023-02-02,497.3053283691406,500.50341503579887,486.79855365884845,489.70982297413053,5739542
2023-02-03,495.9061584472656,496.30591546404935,488.01081249313705,490.30946871377773,2764059
2023-02-06,494.7068786621094,494.7068786621094,480.41535881167334,489.70983948370423,3445530
2023-02-07,483.81329345703125,494.7068317326577,478.81625475266094,494.7068317326577,6642256
2023-02-08,480.41534423828125,491.6086933586547,478.8162856497977,484.51289184066906,3840635
2023-02-09,484.0132141113281,484.7128118127165,476.21784500775135,483.01380625192047,3017460
2023-02-10,463.6252746582031,481.0149643659998,457.0291770450373,481.0149643659998,5349667
2023-02-13,469.92156982421875,472.2201956136467,461.3396492499088,466.02385492113604,2868318
2023-02-14,488.3106689453125,498.1048534214924,478.816294616554,488.01082829838475,4555203
2023-02-15,500.70330810546875,500.70330810546875,483.0137778348745,487.2113027972375,4943646
2023-02-16,500.1036376953125,508.2987935384411,493.70743412237294,506.89962877240816,3298221
2023-02-17,505.9002380371094,514.4831648685046,492.61809990147975,499.70389750820544,4672382
2023-02-20,491.30889892578125,506.6997735205881,486.012019088288,499.7039186593571,3667414
2023-02-21,481.7145690917969,494.40706060169447,480.6292136635871,488.7104238296446,3496617
2023-02-22,473.8192443847656,479.51585054872754,469.9885064770274,479.51585054872754,3237969
2023-02-23,488.71038818359375,489.60984905581,475.31833047641857,477.7169029688299,2700324
2023-02-24,476.6175842285156,495.4064695824745,471.994316567897,490.3094835901955,2745789
2023-02-27,491.60870361328125,494.3071169438535,480.21546049437734,481.3148152031107,5451699
2023-02-28,486.1119384765625,492.4082257952452,480.31538554778,492.4082257952452,3172184
2023-03-01,492.5081481933594,492.5081481933594,482.938836875034,484.71277960771783,2843893
2023-03-02,484.4129943847656,491.3089024112852,481.71458100505896,489.70984376032965,3515718
2023-03-03,504.7009582519531,507.9989919179552,482.9058582103986,491.30889932101053,8869562
2023-03-06,515.894287109375,520.8913258047409,501.9025787623505,504.50101448433776,5044043
2023-03-07,520.4915771484375,526.6879177928618,510.86029063619833,511.6968005881314,5274450
2023-03-08,514.695068359375,519.0924875177805,506.8996989413083,515.694476259102,7013764
2023-03-09,511.89666748046875,514.4951032599549,500.0656657157274,512.6961814896176,6749302
2023-03-10,503.3017883300781,507.1994727597592,488.91032170536755,499.40410390039705,4376314
2023-03-13,483.1137390136719,504.0213642410177,476.0179373194255,501.70273075509664,9020392
2023-03-14,504.90081787109375,507.899041182681,476.9174002962795,481.2148415097526,3667235
2023-03-15,469.92156982421875,505.2486294433569,464.7246369531126,500.5034247595928,12481179
2023-03-16,487.01141357421875,491.608695599752,473.50943480186345,490.0096370039788,5195516
2023-03-17,460.42718505859375,494.8827510026838,452.02716373054244,491.7086369579454,11247467
2023-03-20,469.7216796875,476.8174813741699,439.02188292431066,457.4289755890978,4035548
2023-03-21,481.1148986816406,488.4295644596959,473.2195833279185,475.0185051302078,2925067
2023-03-22,484.6128234863281,490.80916388459286,476.51761441746766,479.71573149389553,3854726
2023-03-23,476.717529296875,486.2119035700832,473.3904906661412,482.01437853370453,2241566
2023-03-24,467.02325439453125,473.7192988780528,457.22907011963963,473.7192988780528,4460482
2023-03-27,474.6187744140625,477.8168916836581,466.42364847242203,474.81866818072723,2340725
2023-03-28,475.81805419921875,481.71455405139915,470.5221811042009,479.7157384744224,3331811
2023-03-29,491.9085388183594,492.40824272593613,472.8817879458699,476.01793015781374,4510720
2023-03-30,500.70330810546875,508.89846427027067,496.82761392655397,498.1048417239823,5119273
2023-03-31,518.093017578125,582.3638924900845,512.697167150405,513.0959786778692,9072031
2023-04-03,511.89666748046875,519.4921420658966,505.1006764046854,512.4962877375782,5295864
2023-04-04,512.2964477539062,521.4910123216615,509.89790547471915,515.494565125171,8742717
2023-04-05,493.9073486328125,515.0948062643829,488.1107650734744,512.296415615695,5046745
