Price,Close,High,Low,Open,Volume
Ticker,HLT,HLT,HLT,HLT,HLT
Date,,,,,
2023-01-03,123.78788757324219,127.2135208315045,123.26315406971423,126.50066491326236,1611900
2023-01-04,126.56999969482422,127.22344670440464,124.88689096998111,125.21361447477132,1884100
2023-01-05,125.57991790771484,127.04522588257862,124.9858800545115,125.86703784004338,1265200
2023-01-06,128.95608520507812,129.34221030697012,126.0254910081936,126.57992550247883,2337400
2023-01-09,127.79766845703125,129.55998400261234,127.58974803549549,127.60955357735652,2005900
2023-01-10,128.17391967773438,128.35212426271602,126.48090058438589,127.60957494421669,983600
2023-01-11,133.1044158935547,133.7182517045594,128.74811837865232,129.28276223943834,1892300
2023-01-12,133.6588592529297,134.67862563717213,131.90643886826345,132.8866092747112,2492100
2023-01-13,135.5201873779297,135.5300825955717,132.85690843358302,133.13412559958465,1601600
2023-01-17,134.83702087402344,136.70824403714482,134.57959417921072,135.32214329326206,1533900
2023-01-18,133.19354248046875,136.84688746963195,133.07473942625344,136.24294676536374,1291900
2023-01-19,133.71824645996094,134.56970340983105,131.82721769462597,131.8470232350046,1279500
2023-01-20,137.3419189453125,137.61913614047236,133.35195527154275,134.16380131245265,1588200
2023-01-23,138.6092071533203,138.9458258878207,136.73798346103868,137.4805327850743,1597600
2023-01-24,138.8468017578125,139.3715353042933,137.42110491182623,138.60918058108086,1188600
2023-01-25,140.85665893554688,140.93586600866615,136.6389691583709,137.27261063612067,1218800
2023-01-26,142.62884521484375,142.83676563407087,140.995243048695,141.69818115133523,1076200
2023-01-27,143.27243041992188,144.27239145227313,142.4506739824191,142.62887857726756,1111600
2023-01-30,141.50018310546875,142.51005431433182,140.9556439679836,141.76750506518022,1616600
2023-01-31,143.6486358642578,143.7773492459042,140.99526690899484,141.4902997833831,1585700
2023-02-01,145.91587829589844,146.76733534730943,142.70806019605183,143.09418518987758,1766000
2023-02-02,145.6287384033203,147.22274454616823,144.64858317554769,147.00492891617398,1484200
2023-02-03,145.3614501953125,146.2128921760624,143.5595234086566,143.5595234086566,1248400
2023-02-06,144.7772674560547,146.0445500316418,144.08422465803048,144.08422465803048,1899800
2023-02-07,146.71778869628906,147.3910258922986,143.5693729832838,144.06440566524324,1530200
2023-02-08,145.81687927246094,147.202965249361,144.98522768632088,145.57925805904773,1852700
2023-02-09,149.30189514160156,151.34142785553365,147.71778414253862,148.26232324266664,3027100
2023-02-10,145.70797729492188,150.31179218143134,144.13377634919365,149.004898115933,2641700
2023-02-13,147.519775390625,148.3217261148579,145.6782527579707,146.46039794005404,1930500
2023-02-14,149.86622619628906,150.56917942489244,145.9455748500123,147.0742490384498,1950000
2023-02-15,151.24240112304688,151.3711144730163,149.40087867924166,149.69790135221683,1475000
2023-02-16,146.80691528320312,149.3414806177299,146.6683067135712,148.79694155588993,1497900
2023-02-17,144.88621520996094,146.13370769757506,143.74764566406958,146.10400693427036,1337900
2023-02-21,142.64866638183594,144.26247829031806,142.48035702745491,143.14369922667552,1202600
2023-02-22,142.48036193847656,143.47042766228137,141.559592959592,142.80708544019663,1126300
2023-02-23,143.94564819335938,144.6980926693835,141.62889813460853,143.33181230784504,1524000
2023-02-24,143.35159301757812,143.59910942006576,141.7873026481942,142.2823354531695,950700
2023-02-27,143.797607421875,145.53201929960528,143.16330882579135,144.6499475781316,1009700
2023-02-28,143.22276306152344,144.73913328490815,143.18312601798607,143.6192091112495,1547300
2023-03-01,144.2039337158203,144.71930596075433,142.43979058190988,142.98489438685272,2188800
2023-03-02,144.8878173828125,145.70050538231473,143.06421078224352,143.79760956569427,1289700
2023-03-03,146.2654266357422,146.96909381148606,145.5221072929061,146.32488976350976,1304900
2023-03-06,147.31597900390625,148.73324905052635,146.47354438460536,146.54292811406634,1041300
2023-03-07,145.68067932128906,148.9017296655331,145.49236934304326,147.69259571109498,1176300
2023-03-08,146.1266632080078,146.8105193711827,145.35361235995003,145.4824440860466,1382900
2023-03-09,141.14146423339844,147.46462309985768,140.87386506631444,147.38534902052146,1964000
2023-03-10,139.2980499267578,143.13357295304885,138.03935825325203,140.39816317529716,2692300
2023-03-13,136.3148651123047,138.178123978967,135.02645687254622,137.97990848999433,2832300
2023-03-14,137.83123779296875,139.3773396347103,136.47343081831437,138.8520618326538,1607300
2023-03-15,134.62008666992188,135.40304303607235,132.4495918271393,134.5011604175624,1952500
