survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2025-W51,ILIconsultationrate,15-64,5484.1
primary care syndromic,Austria,2025-W51,ILIconsultationrate,5-14,2013.8
primary care syndromic,Austria,2025-W51,ILIconsultationrate,65+,1346.9
primary care syndromic,Austria,2025-W51,ILIconsultationrate,total,3739.7
primary care syndromic,Austria,2025-W50,ILIconsultationrate,0-4,2423.3
primary care syndromic,Austria,2025-W50,ILIconsultationrate,15-64,4565.4
primary care syndromic,Austria,2025-W50,ILIconsultationrate,5-14,1118.7
primary care syndromic,Austria,2025-W50,ILIconsultationrate,65+,2068.1
primary care syndromic,Austria,2025-W50,ILIconsultationrate,total,3068.2
primary care syndromic,Austria,2025-W49,ILIconsultationrate,0-4,2034.3
primary care syndromic,Austria,2025-W49,ILIconsultationrate,15-64,3392.1
primary care syndromic,Austria,2025-W49,ILIconsultationrate,5-14,1357.6
primary care syndromic,Austria,2025-W49,ILIconsultationrate,65+,1156.3
primary care syndromic,Austria,2025-W49,ILIconsultationrate,total,2395.8
primary care syndromic,Austria,2025-W48,ILIconsultationrate,0-4,2172.7
primary care syndromic,Austria,2025-W48,ILIconsultationrate,15-64,3666.7
primary care syndromic,Austria,2025-W48,ILIconsultationrate,5-14,1267.2
primary care syndromic,Austria,2025-W48,ILIconsultationrate,65+,973.9
primary care syndromic,Austria,2025-W48,ILIconsultationrate,total,2716.4
primary care syndromic,Austria,2025-W47,ILIconsultationrate,0-4,1329.9
primary care syndromic,Austria,2025-W47,ILIconsultationrate,15-64,3265.8
primary care syndromic,Austria,2025-W47,ILIconsultationrate,5-14,712.7
primary care syndromic,Austria,2025-W47,ILIconsultationrate,65+,987.3
primary care syndromic,Austria,2025-W47,ILIconsultationrate,total,2224.8
primary care syndromic,Austria,2025-W46,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W46,ILIconsultationrate,15-64,2671.1
primary care syndromic,Austria,2025-W46,ILIconsultationrate,5-14,765.6
primary care syndromic,Austria,2025-W46,ILIconsultationrate,65+,497.2
primary care syndromic,Austria,2025-W46,ILIconsultationrate,total,1850.3
primary care syndromic,Austria,2025-W45,ILIconsultationrate,0-4,1143.5
primary care syndromic,Austria,2025-W45,ILIconsultationrate,15-64,2837.2
primary care syndromic,Austria,2025-W45,ILIconsultationrate,5-14,343.2
primary care syndromic,Austria,2025-W45,ILIconsultationrate,65+,1079.7
primary care syndromic,Austria,2025-W45,ILIconsultationrate,total,2049.7
primary care syndromic,Austria,2025-W44,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W44,ILIconsultationrate,15-64,2308.9
primary care syndromic,Austria,2025-W44,ILIconsultationrate,5-14,1088.9
primary care syndromic,Austria,2025-W44,ILIconsultationrate,65+,983.2
primary care syndromic,Austria,2025-W44,ILIconsultationrate,total,1710.9
primary care syndromic,Austria,2025-W43,ILIconsultationrate,0-4,729.3
primary care syndromic,Austria,2025-W43,ILIconsultationrate,15-64,3628.3
primary care syndromic,Austria,2025-W43,ILIconsultationrate,5-14,653.3
primary care syndromic,Austria,2025-W43,ILIconsultationrate,65+,1595.5
primary care syndromic,Austria,2025-W43,ILIconsultationrate,total,2493.3
primary care syndromic,Austria,2025-W42,ILIconsultationrate,0-4,943.8
primary care syndromic,Austria,2025-W42,ILIconsultationrate,15-64,2722.0
primary care syndromic,Austria,2025-W42,ILIconsultationrate,5-14,1227.5
primary care syndromic,Austria,2025-W42,ILIconsultationrate,65+,1727.5
primary care syndromic,Austria,2025-W42,ILIconsultationrate,total,2143.5
primary care syndromic,Austria,2025-W41,ILIconsultationrate,0-4,1930.5
primary care syndromic,Austria,2025-W41,ILIconsultationrate,15-64,2150.0
primary care syndromic,Austria,2025-W41,ILIconsultationrate,5-14,118.8
primary care syndromic,Austria,2025-W41,ILIconsultationrate,65+,1168.6
primary care syndromic,Austria,2025-W41,ILIconsultationrate,total,1547.5
primary care syndromic,Austria,2025-W40,ILIconsultationrate,0-4,428.8
primary care syndromic,Austria,2025-W40,ILIconsultationrate,15-64,2707.0
primary care syndromic,Austria,2025-W40,ILIconsultationrate,5-14,752.5
primary care syndromic,Austria,2025-W40,ILIconsultationrate,65+,1491.8
primary care syndromic,Austria,2025-W40,ILIconsultationrate,total,1909.1
primary care syndromic,Austria,2025-W14,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W14,ILIconsultationrate,15-64,2073.3
primary care syndromic,Austria,2025-W14,ILIconsultationrate,5-14,1596.8
primary care syndromic,Austria,2025-W14,ILIconsultationrate,65+,1449.3
primary care syndromic,Austria,2025-W14,ILIconsultationrate,total,1724.4
primary care syndromic,Austria,2025-W13,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W13,ILIconsultationrate,15-64,2241.5
primary care syndromic,Austria,2025-W13,ILIconsultationrate,5-14,1716.6
primary care syndromic,Austria,2025-W13,ILIconsultationrate,65+,1655.4
primary care syndromic,Austria,2025-W13,ILIconsultationrate,total,1894.2
primary care syndromic,Austria,2025-W12,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W12,ILIconsultationrate,15-64,2292.4
primary care syndromic,Austria,2025-W12,ILIconsultationrate,5-14,2594.8
primary care syndromic,Austria,2025-W12,ILIconsultationrate,65+,1790.5
primary care syndromic,Austria,2025-W12,ILIconsultationrate,total,2082.4
primary care syndromic,Austria,2025-W11,ILIconsultationrate,0-4,2295.6
primary care syndromic,Austria,2025-W11,ILIconsultationrate,15-64,2233.4
primary care syndromic,Austria,2025-W11,ILIconsultationrate,5-14,532.2
primary care syndromic,Austria,2025-W11,ILIconsultationrate,65+,849.5
primary care syndromic,Austria,2025-W11,ILIconsultationrate,total,1706.2
primary care syndromic,Austria,2025-W10,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W10,ILIconsultationrate,15-64,2729.7
primary care syndromic,Austria,2025-W10,ILIconsultationrate,5-14,1596.6
primary care syndromic,Austria,2025-W10,ILIconsultationrate,65+,1274.2
