survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Czechia,2024-W28,ARIconsultationrate,5-14,918.6
primary care syndromic,Czechia,2024-W28,ARIconsultationrate,65+,214.1
primary care syndromic,Czechia,2024-W28,ARIconsultationrate,total,471.8
primary care syndromic,Czechia,2024-W27,ARIconsultationrate,0-4,1542.6
primary care syndromic,Czechia,2024-W27,ARIconsultationrate,15-64,338.6
primary care syndromic,Czechia,2024-W27,ARIconsultationrate,5-14,924.4
primary care syndromic,Czechia,2024-W27,ARIconsultationrate,65+,222.3
primary care syndromic,Czechia,2024-W27,ARIconsultationrate,total,465.9
primary care syndromic,Czechia,2024-W26,ARIconsultationrate,0-4,1986.1
primary care syndromic,Czechia,2024-W26,ARIconsultationrate,15-64,448.8
primary care syndromic,Czechia,2024-W26,ARIconsultationrate,5-14,1239.4
primary care syndromic,Czechia,2024-W26,ARIconsultationrate,65+,272.3
primary care syndromic,Czechia,2024-W26,ARIconsultationrate,total,608.8
primary care syndromic,Czechia,2024-W25,ARIconsultationrate,0-4,2099.3
primary care syndromic,Czechia,2024-W25,ARIconsultationrate,15-64,473.4
primary care syndromic,Czechia,2024-W25,ARIconsultationrate,5-14,1427.8
primary care syndromic,Czechia,2024-W25,ARIconsultationrate,65+,300.0
primary care syndromic,Czechia,2024-W25,ARIconsultationrate,total,658.3
primary care syndromic,Czechia,2024-W24,ARIconsultationrate,0-4,2296.2
primary care syndromic,Czechia,2024-W24,ARIconsultationrate,15-64,515.7
primary care syndromic,Czechia,2024-W24,ARIconsultationrate,5-14,1547.2
primary care syndromic,Czechia,2024-W24,ARIconsultationrate,65+,320.7
primary care syndromic,Czechia,2024-W24,ARIconsultationrate,total,714.5
primary care syndromic,Czechia,2024-W23,ARIconsultationrate,0-4,2253.2
primary care syndromic,Czechia,2024-W23,ARIconsultationrate,15-64,518.1
primary care syndromic,Czechia,2024-W23,ARIconsultationrate,5-14,1536.4
primary care syndromic,Czechia,2024-W23,ARIconsultationrate,65+,315.2
primary care syndromic,Czechia,2024-W23,ARIconsultationrate,total,710.0
primary care syndromic,Czechia,2024-W22,ARIconsultationrate,0-4,2415.7
primary care syndromic,Czechia,2024-W22,ARIconsultationrate,15-64,532.2
primary care syndromic,Czechia,2024-W22,ARIconsultationrate,5-14,1558.5
primary care syndromic,Czechia,2024-W22,ARIconsultationrate,65+,322.9
primary care syndromic,Czechia,2024-W22,ARIconsultationrate,total,734.1
primary care syndromic,Czechia,2024-W21,ARIconsultationrate,0-4,2500.0
primary care syndromic,Czechia,2024-W21,ARIconsultationrate,15-64,544.9
primary care syndromic,Czechia,2024-W21,ARIconsultationrate,5-14,1601.5
primary care syndromic,Czechia,2024-W21,ARIconsultationrate,65+,338.4
primary care syndromic,Czechia,2024-W21,ARIconsultationrate,total,759.0
primary care syndromic,Czechia,2024-W20,ARIconsultationrate,0-4,2661.6
primary care syndromic,Czechia,2024-W20,ARIconsultationrate,15-64,581.7
primary care syndromic,Czechia,2024-W20,ARIconsultationrate,5-14,1656.0
primary care syndromic,Czechia,2024-W20,ARIconsultationrate,65+,324.8
primary care syndromic,Czechia,2024-W20,ARIconsultationrate,total,794.5
primary care syndromic,Czechia,2024-W19,ARIconsultationrate,0-4,2445.0
primary care syndromic,Czechia,2024-W19,ARIconsultationrate,15-64,505.0
primary care syndromic,Czechia,2024-W19,ARIconsultationrate,5-14,1533.7
primary care syndromic,Czechia,2024-W19,ARIconsultationrate,65+,307.8
primary care syndromic,Czechia,2024-W19,ARIconsultationrate,total,713.9
primary care syndromic,Czechia,2024-W18,ARIconsultationrate,0-4,2525.4
primary care syndromic,Czechia,2024-W18,ARIconsultationrate,15-64,527.7
primary care syndromic,Czechia,2024-W18,ARIconsultationrate,5-14,1627.9
primary care syndromic,Czechia,2024-W18,ARIconsultationrate,65+,328.8
primary care syndromic,Czechia,2024-W18,ARIconsultationrate,total,750.3
primary care syndromic,Czechia,2024-W17,ARIconsultationrate,0-4,2908.9
primary care syndromic,Czechia,2024-W17,ARIconsultationrate,15-64,632.5
primary care syndromic,Czechia,2024-W17,ARIconsultationrate,5-14,1977.2
primary care syndromic,Czechia,2024-W17,ARIconsultationrate,65+,383.4
primary care syndromic,Czechia,2024-W17,ARIconsultationrate,total,892.6
primary care syndromic,Czechia,2024-W16,ARIconsultationrate,0-4,2878.1
primary care syndromic,Czechia,2024-W16,ARIconsultationrate,15-64,653.1
primary care syndromic,Czechia,2024-W16,ARIconsultationrate,5-14,1931.2
primary care syndromic,Czechia,2024-W16,ARIconsultationrate,65+,412.2
primary care syndromic,Czechia,2024-W16,ARIconsultationrate,total,900.4
primary care syndromic,Czechia,2024-W15,ARIconsultationrate,0-4,2941.6
primary care syndromic,Czechia,2024-W15,ARIconsultationrate,15-64,650.0
primary care syndromic,Czechia,2024-W15,ARIconsultationrate,5-14,1915.7
primary care syndromic,Czechia,2024-W15,ARIconsultationrate,65+,400.4
primary care syndromic,Czechia,2024-W15,ARIconsultationrate,total,902.5
primary care syndromic,Czechia,2024-W14,ARIconsultationrate,0-4,2916.4
primary care syndromic,Czechia,2024-W14,ARIconsultationrate,15-64,637.9
primary care syndromic,Czechia,2024-W14,ARIconsultationrate,5-14,1864.3
primary care syndromic,Czechia,2024-W14,ARIconsultationrate,65+,416.7
primary care syndromic,Czechia,2024-W14,ARIconsultationrate,total,888.5
primary care syndromic,Czechia,2024-W13,ARIconsultationrate,0-4,2893.1
primary care syndromic,Czechia,2024-W13,ARIconsultationrate,15-64,617.4
primary care syndromic,Czechia,2024-W13,ARIconsultationrate,5-14,1911.3
primary care syndromic,Czechia,2024-W13,ARIconsultationrate,65+,380.7
primary care syndromic,Czechia,2024-W13,ARIconsultationrate,total,871.1
primary care syndromic,Czechia,2024-W12,ARIconsultationrate,0-4,3381.3
primary care syndromic,Czechia,2024-W12,ARIconsultationrate,15-64,730.2
primary care syndromic,Czechia,2024-W12,ARIconsultationrate,5-14,2248.2
primary care syndromic,Czechia,2024-W12,ARIconsultationrate,65+,458.7
primary care syndromic,Czechia,2024-W12,ARIconsultationrate,total,1031.3
primary care syndromic,Czechia,2024-W11,ARIconsultationrate,0-4,3368.0
primary care syndromic,Czechia,2024-W11,ARIconsultationrate,15-64,748.2
primary care syndromic,Czechia,2024-W11,ARIconsultationrate,5-14,2122.5
primary care syndromic,Czechia,2024-W11,ARIconsultationrate,65+,460.4
primary care syndromic,Czechia,2024-W11,ARIconsultationrate,total,1027.5
primary care syndromic,Czechia,2024-W10,ARIconsultationrate,0-4,3511.7
primary care syndromic,Czechia,2024-W10,ARIconsultationrate,15-64,784.4
primary care syndromic,Czechia,2024-W10,ARIconsultationrate,5-14,2229.0
primary care syndromic,Czechia,2024-W10,ARIconsultationrate,65+,501.6
primary care syndromic,Czechia,2024-W10,ARIconsultationrate,total,1080.0
primary care syndromic,Czechia,2024-W09,ARIconsultationrate,0-4,3900.0
primary care syndromic,Czechia,2024-W09,ARIconsultationrate,15-64,860.9
primary care syndromic,Czechia,2024-W09,ARIconsultationrate,5-14,2400.4
primary care syndromic,Czechia,2024-W09,ARIconsultationrate,65+,548.7
primary care syndromic,Czechia,2024-W09,ARIconsultationrate,total,1182.9
primary care syndromic,Czechia,2024-W08,ARIconsultationrate,0-4,4096.0
primary care syndromic,Czechia,2024-W08,ARIconsultationrate,15-64,935.6
primary care syndromic,Czechia,2024-W08,ARIconsultationrate,5-14,2473.0
primary care syndromic,Czechia,2024-W08,ARIconsultationrate,65+,552.7
primary care syndromic,Czechia,2024-W08,ARIconsultationrate,total,1251.7
primary care syndromic,Czechia,2024-W07,ARIconsultationrate,0-4,4594.8
primary care syndromic,Czechia,2024-W07,ARIconsultationrate,15-64,1095.9
primary care syndromic,Czechia,2024-W07,ARIconsultationrate,5-14,2820.0
primary care syndromic,Czechia,2024-W07,ARIconsultationrate,65+,677.0
primary care syndromic,Czechia,2024-W07,ARIconsultationrate,total,1451.8
primary care syndromic,Czechia,2024-W06,ARIconsultationrate,0-4,4916.7
primary care syndromic,Czechia,2024-W06,ARIconsultationrate,15-64,1225.5
primary care syndromic,Czechia,2024-W06,ARIconsultationrate,5-14,3145.9
primary care syndromic,Czechia,2024-W06,ARIconsultationrate,65+,755.3
primary care syndromic,Czechia,2024-W06,ARIconsultationrate,total,1601.4
primary care syndromic,Czechia,2024-W05,ARIconsultationrate,0-4,4922.0
primary care syndromic,Czechia,2024-W05,ARIconsultationrate,15-64,1222.9
primary care syndromic,Czechia,2024-W05,ARIconsultationrate,5-14,3220.3
primary care syndromic,Czechia,2024-W05,ARIconsultationrate,65+,705.8
primary care syndromic,Czechia,2024-W05,ARIconsultationrate,total,1601.0
primary care syndromic,Czechia,2024-W04,ARIconsultationrate,0-4,4470.7
primary care syndromic,Czechia,2024-W04,ARIconsultationrate,15-64,1048.9
primary care syndromic,Czechia,2024-W04,ARIconsultationrate,5-14,2922.6
primary care syndromic,Czechia,2024-W04,ARIconsultationrate,65+,650.0
primary care syndromic,Czechia,2024-W04,ARIconsultationrate,total,1419.7
primary care syndromic,Czechia,2024-W03,ARIconsultationrate,0-4,3634.2
primary care syndromic,Czechia,2024-W03,ARIconsultationrate,15-64,916.8
primary care syndromic,Czechia,2024-W03,ARIconsultationrate,5-14,2330.0
primary care syndromic,Czechia,2024-W03,ARIconsultationrate,65+,606.0
primary care syndromic,Czechia,2024-W03,ARIconsultationrate,total,1205.1
primary care syndromic,Czechia,2024-W02,ARIconsultationrate,0-4,3081.1
primary care syndromic,Czechia,2024-W02,ARIconsultationrate,15-64,902.5
primary care syndromic,Czechia,2024-W02,ARIconsultationrate,5-14,2037.8
primary care syndromic,Czechia,2024-W02,ARIconsultationrate,65+,628.0
primary care syndromic,Czechia,2024-W02,ARIconsultationrate,total,1126.7
primary care syndromic,Czechia,2024-W01,ARIconsultationrate,0-4,3001.7
primary care syndromic,Czechia,2024-W01,ARIconsultationrate,15-64,867.1
primary care syndromic,Czechia,2024-W01,ARIconsultationrate,5-14,1846.8
primary care syndromic,Czechia,2024-W01,ARIconsultationrate,65+,598.3
primary care syndromic,Czechia,2024-W01,ARIconsultationrate,total,1072.8
primary care syndromic,Czechia,2023-W52,ARIconsultationrate,0-4,2246.4
primary care syndromic,Czechia,2023-W52,ARIconsultationrate,15-64,585.2
primary care syndromic,Czechia,2023-W52,ARIconsultationrate,5-14,1352.2
primary care syndromic,Czechia,2023-W52,ARIconsultationrate,65+,415.4
primary care syndromic,Czechia,2023-W52,ARIconsultationrate,total,752.2
primary care syndromic,Czechia,2023-W51,ARIconsultationrate,0-4,3768.7
primary care syndromic,Czechia,2023-W51,ARIconsultationrate,15-64,1062.6
primary care syndromic,Czechia,2023-W51,ARIconsultationrate,5-14,2346.2
primary care syndromic,Czechia,2023-W51,ARIconsultationrate,65+,725.6
primary care syndromic,Czechia,2023-W51,ARIconsultationrate,total,1332.3
primary care syndromic,Czechia,2023-W50,ARIconsultationrate,0-4,3874.2
primary care syndromic,Czechia,2023-W50,ARIconsultationrate,15-64,1157.2
primary care syndromic,Czechia,2023-W50,ARIconsultationrate,5-14,2502.3
primary care syndromic,Czechia,2023-W50,ARIconsultationrate,65+,796.4
primary care syndromic,Czechia,2023-W50,ARIconsultationrate,total,1427.1
primary care syndromic,Czechia,2023-W49,ARIconsultationrate,0-4,3511.8
primary care syndromic,Czechia,2023-W49,ARIconsultationrate,15-64,1093.6
primary care syndromic,Czechia,2023-W49,ARIconsultationrate,5-14,2272.6
primary care syndromic,Czechia,2023-W49,ARIconsultationrate,65+,704.5
primary care syndromic,Czechia,2023-W49,ARIconsultationrate,total,1316.9
primary care syndromic,Czechia,2023-W48,ARIconsultationrate,0-4,3557.4
primary care syndromic,Czechia,2023-W48,ARIconsultationrate,15-64,1030.1
primary care syndromic,Czechia,2023-W48,ARIconsultationrate,5-14,2223.1
primary care syndromic,Czechia,2023-W48,ARIconsultationrate,65+,670.9
primary care syndromic,Czechia,2023-W48,ARIconsultationrate,total,1269.9
primary care syndromic,Czechia,2023-W47,ARIconsultationrate,0-4,3320.2
primary care syndromic,Czechia,2023-W47,ARIconsultationrate,15-64,894.8
primary care syndromic,Czechia,2023-W47,ARIconsultationrate,5-14,2072.4
primary care syndromic,Czechia,2023-W47,ARIconsultationrate,65+,587.8
primary care syndromic,Czechia,2023-W47,ARIconsultationrate,total,1134.7
primary care syndromic,Czechia,2023-W46,ARIconsultationrate,0-4,3087.3
primary care syndromic,Czechia,2023-W46,ARIconsultationrate,15-64,731.6
primary care syndromic,Czechia,2023-W46,ARIconsultationrate,5-14,1932.3
primary care syndromic,Czechia,2023-W46,ARIconsultationrate,65+,475.4
primary care syndromic,Czechia,2023-W46,ARIconsultationrate,total,978.3
primary care syndromic,Czechia,2023-W45,ARIconsultationrate,0-4,3169.4
primary care syndromic,Czechia,2023-W45,ARIconsultationrate,15-64,776.7
primary care syndromic,Czechia,2023-W45,ARIconsultationrate,5-14,1917.9
primary care syndromic,Czechia,2023-W45,ARIconsultationrate,65+,490.3
primary care syndromic,Czechia,2023-W45,ARIconsultationrate,total,1016.4
primary care syndromic,Czechia,2023-W44,ARIconsultationrate,0-4,2917.3
primary care syndromic,Czechia,2023-W44,ARIconsultationrate,15-64,770.2
primary care syndromic,Czechia,2023-W44,ARIconsultationrate,5-14,1719.4
primary care syndromic,Czechia,2023-W44,ARIconsultationrate,65+,500.0
primary care syndromic,Czechia,2023-W44,ARIconsultationrate,total,973.3
primary care syndromic,Czechia,2023-W43,ARIconsultationrate,0-4,2716.4
primary care syndromic,Czechia,2023-W43,ARIconsultationrate,15-64,717.8
primary care syndromic,Czechia,2023-W43,ARIconsultationrate,5-14,1564.4
primary care syndromic,Czechia,2023-W43,ARIconsultationrate,65+,491.5
primary care syndromic,Czechia,2023-W43,ARIconsultationrate,total,908.3
primary care syndromic,Czechia,2023-W42,ARIconsultationrate,0-4,2763.7
primary care syndromic,Czechia,2023-W42,ARIconsultationrate,15-64,709.6
primary care syndromic,Czechia,2023-W42,ARIconsultationrate,5-14,1606.0
primary care syndromic,Czechia,2023-W42,ARIconsultationrate,65+,454.7
primary care syndromic,Czechia,2023-W42,ARIconsultationrate,total,904.5
primary care syndromic,Czechia,2023-W41,ARIconsultationrate,0-4,2395.3
primary care syndromic,Czechia,2023-W41,ARIconsultationrate,15-64,648.6
primary care syndromic,Czechia,2023-W41,ARIconsultationrate,5-14,1446.4
primary care syndromic,Czechia,2023-W41,ARIconsultationrate,65+,442.8
primary care syndromic,Czechia,2023-W41,ARIconsultationrate,total,819.0
primary care syndromic,Czechia,2023-W40,ARIconsultationrate,0-4,2119.4
primary care syndromic,Czechia,2023-W40,ARIconsultationrate,15-64,599.7
primary care syndromic,Czechia,2023-W40,ARIconsultationrate,5-14,1352.0
primary care syndromic,Czechia,2023-W40,ARIconsultationrate,65+,386.3
primary care syndromic,Czechia,2023-W40,ARIconsultationrate,total,747.1
primary care syndromic,Czechia,2023-W39,ARIconsultationrate,0-4,1713.8
primary care syndromic,Czechia,2023-W39,ARIconsultationrate,15-64,424.1
primary care syndromic,Czechia,2023-W39,ARIconsultationrate,5-14,1106.2
primary care syndromic,Czechia,2023-W39,ARIconsultationrate,65+,272.9
primary care syndromic,Czechia,2023-W39,ARIconsultationrate,total,558.4
primary care syndromic,Czechia,2023-W38,ARIconsultationrate,0-4,1975.9
primary care syndromic,Czechia,2023-W38,ARIconsultationrate,15-64,492.8
primary care syndromic,Czechia,2023-W38,ARIconsultationrate,5-14,1281.6
primary care syndromic,Czechia,2023-W38,ARIconsultationrate,65+,320.7
primary care syndromic,Czechia,2023-W38,ARIconsultationrate,total,653.4
primary care syndromic,Czechia,2023-W37,ARIconsultationrate,0-4,1646.3
primary care syndromic,Czechia,2023-W37,ARIconsultationrate,15-64,392.8
primary care syndromic,Czechia,2023-W37,ARIconsultationrate,5-14,1016.9
primary care syndromic,Czechia,2023-W37,ARIconsultationrate,65+,254.7
primary care syndromic,Czechia,2023-W37,ARIconsultationrate,total,525.0
primary care syndromic,Czechia,2023-W36,ARIconsultationrate,0-4,1069.7
primary care syndromic,Czechia,2023-W36,ARIconsultationrate,15-64,312.0
primary care syndromic,Czechia,2023-W36,ARIconsultationrate,5-14,608.8
primary care syndromic,Czechia,2023-W36,ARIconsultationrate,65+,216.5
primary care syndromic,Czechia,2023-W36,ARIconsultationrate,total,381.0
primary care syndromic,Czechia,2023-W35,ARIconsultationrate,0-4,992.1
primary care syndromic,Czechia,2023-W35,ARIconsultationrate,15-64,275.7
primary care syndromic,Czechia,2023-W35,ARIconsultationrate,5-14,587.5
primary care syndromic,Czechia,2023-W35,ARIconsultationrate,65+,194.1
primary care syndromic,Czechia,2023-W35,ARIconsultationrate,total,345.6
primary care syndromic,Czechia,2023-W34,ARIconsultationrate,0-4,879.7
primary care syndromic,Czechia,2023-W34,ARIconsultationrate,15-64,256.9
primary care syndromic,Czechia,2023-W34,ARIconsultationrate,5-14,528.4
primary care syndromic,Czechia,2023-W34,ARIconsultationrate,65+,175.8
primary care syndromic,Czechia,2023-W34,ARIconsultationrate,total,315.2
primary care syndromic,Czechia,2023-W33,ARIconsultationrate,0-4,869.0
primary care syndromic,Czechia,2023-W33,ARIconsultationrate,15-64,254.3
primary care syndromic,Czechia,2023-W33,ARIconsultationrate,5-14,510.9
primary care syndromic,Czechia,2023-W33,ARIconsultationrate,65+,180.2
primary care syndromic,Czechia,2023-W33,ARIconsultationrate,total,311.6
primary care syndromic,Czechia,2023-W32,ARIconsultationrate,0-4,920.9
primary care syndromic,Czechia,2023-W32,ARIconsultationrate,15-64,268.4
primary care syndromic,Czechia,2023-W32,ARIconsultationrate,5-14,540.4
primary care syndromic,Czechia,2023-W32,ARIconsultationrate,65+,193.5
primary care syndromic,Czechia,2023-W32,ARIconsultationrate,total,330.8
primary care syndromic,Czechia,2023-W31,ARIconsultationrate,0-4,972.8
primary care syndromic,Czechia,2023-W31,ARIconsultationrate,15-64,267.6
primary care syndromic,Czechia,2023-W31,ARIconsultationrate,5-14,560.7
primary care syndromic,Czechia,2023-W31,ARIconsultationrate,65+,170.3
primary care syndromic,Czechia,2023-W31,ARIconsultationrate,total,331.4
primary care syndromic,Czechia,2023-W30,ARIconsultationrate,0-4,1094.7
primary care syndromic,Czechia,2023-W30,ARIconsultationrate,15-64,280.0
primary care syndromic,Czechia,2023-W30,ARIconsultationrate,5-14,643.1
primary care syndromic,Czechia,2023-W30,ARIconsultationrate,65+,193.1
primary care syndromic,Czechia,2023-W30,ARIconsultationrate,total,360.5
primary care syndromic,Czechia,2023-W29,ARIconsultationrate,0-4,1120.0
primary care syndromic,Czechia,2023-W29,ARIconsultationrate,15-64,291.1
primary care syndromic,Czechia,2023-W29,ARIconsultationrate,5-14,675.4
primary care syndromic,Czechia,2023-W29,ARIconsultationrate,65+,195.9
primary care syndromic,Czechia,2023-W29,ARIconsultationrate,total,373.9
primary care syndromic,Czechia,2023-W28,ARIconsultationrate,0-4,1321.5
primary care syndromic,Czechia,2023-W28,ARIconsultationrate,15-64,298.0
primary care syndromic,Czechia,2023-W28,ARIconsultationrate,5-14,759.6
primary care syndromic,Czechia,2023-W28,ARIconsultationrate,65+,196.6
primary care syndromic,Czechia,2023-W28,ARIconsultationrate,total,402.5
primary care syndromic,Czechia,2023-W27,ARIconsultationrate,0-4,1096.4
primary care syndromic,Czechia,2023-W27,ARIconsultationrate,15-64,223.9
primary care syndromic,Czechia,2023-W27,ARIconsultationrate,5-14,648.0
primary care syndromic,Czechia,2023-W27,ARIconsultationrate,65+,163.9
primary care syndromic,Czechia,2023-W27,ARIconsultationrate,total,320.6
primary care syndromic,Czechia,2023-W26,ARIconsultationrate,0-4,1893.1
primary care syndromic,Czechia,2023-W26,ARIconsultationrate,15-64,395.8
primary care syndromic,Czechia,2023-W26,ARIconsultationrate,5-14,1196.5
primary care syndromic,Czechia,2023-W26,ARIconsultationrate,65+,258.1
primary care syndromic,Czechia,2023-W26,ARIconsultationrate,total,565.6
primary care syndromic,Czechia,2023-W25,ARIconsultationrate,0-4,2016.7
primary care syndromic,Czechia,2023-W25,ARIconsultationrate,15-64,420.8
primary care syndromic,Czechia,2023-W25,ARIconsultationrate,5-14,1292.8
primary care syndromic,Czechia,2023-W25,ARIconsultationrate,65+,280.1
primary care syndromic,Czechia,2023-W25,ARIconsultationrate,total,605.4
primary care syndromic,Czechia,2023-W24,ARIconsultationrate,0-4,2233.4
primary care syndromic,Czechia,2023-W24,ARIconsultationrate,15-64,447.7
primary care syndromic,Czechia,2023-W24,ARIconsultationrate,5-14,1470.8
primary care syndromic,Czechia,2023-W24,ARIconsultationrate,65+,305.0
primary care syndromic,Czechia,2023-W24,ARIconsultationrate,total,662.2
primary care syndromic,Czechia,2023-W23,ARIconsultationrate,0-4,2337.3
primary care syndromic,Czechia,2023-W23,ARIconsultationrate,15-64,467.7
primary care syndromic,Czechia,2023-W23,ARIconsultationrate,5-14,1464.5
primary care syndromic,Czechia,2023-W23,ARIconsultationrate,65+,299.9
primary care syndromic,Czechia,2023-W23,ARIconsultationrate,total,679.3
primary care syndromic,Czechia,2023-W22,ARIconsultationrate,0-4,2342.0
primary care syndromic,Czechia,2023-W22,ARIconsultationrate,15-64,480.4
primary care syndromic,Czechia,2023-W22,ARIconsultationrate,5-14,1454.6
primary care syndromic,Czechia,2023-W22,ARIconsultationrate,65+,321.7
primary care syndromic,Czechia,2023-W22,ARIconsultationrate,total,690.7
primary care syndromic,Czechia,2023-W21,ARIconsultationrate,0-4,2373.1
primary care syndromic,Czechia,2023-W21,ARIconsultationrate,15-64,488.0
primary care syndromic,Czechia,2023-W21,ARIconsultationrate,5-14,1487.3
primary care syndromic,Czechia,2023-W21,ARIconsultationrate,65+,321.2
primary care syndromic,Czechia,2023-W21,ARIconsultationrate,total,701.7
primary care syndromic,Czechia,2023-W20,ARIconsultationrate,0-4,2552.4
primary care syndromic,Czechia,2023-W20,ARIconsultationrate,15-64,526.5
primary care syndromic,Czechia,2023-W20,ARIconsultationrate,5-14,1584.1
primary care syndromic,Czechia,2023-W20,ARIconsultationrate,65+,328.7
primary care syndromic,Czechia,2023-W20,ARIconsultationrate,total,751.5
primary care syndromic,Czechia,2023-W19,ARIconsultationrate,0-4,2441.7
primary care syndromic,Czechia,2023-W19,ARIconsultationrate,15-64,530.7
primary care syndromic,Czechia,2023-W19,ARIconsultationrate,5-14,1532.5
primary care syndromic,Czechia,2023-W19,ARIconsultationrate,65+,323.6
primary care syndromic,Czechia,2023-W19,ARIconsultationrate,total,737.8
primary care syndromic,Czechia,2023-W18,ARIconsultationrate,0-4,2745.2
primary care syndromic,Czechia,2023-W18,ARIconsultationrate,15-64,541.1
primary care syndromic,Czechia,2023-W18,ARIconsultationrate,5-14,1703.6
primary care syndromic,Czechia,2023-W18,ARIconsultationrate,65+,344.6
primary care syndromic,Czechia,2023-W18,ARIconsultationrate,total,788.8
primary care syndromic,Czechia,2023-W17,ARIconsultationrate,0-4,2955.5
primary care syndromic,Czechia,2023-W17,ARIconsultationrate,15-64,609.6
primary care syndromic,Czechia,2023-W17,ARIconsultationrate,5-14,1860.7
primary care syndromic,Czechia,2023-W17,ARIconsultationrate,65+,381.4
primary care syndromic,Czechia,2023-W17,ARIconsultationrate,total,872.1
primary care syndromic,Czechia,2023-W16,ARIconsultationrate,0-4,3037.1
primary care syndromic,Czechia,2023-W16,ARIconsultationrate,15-64,653.9
primary care syndromic,Czechia,2023-W16,ARIconsultationrate,5-14,1898.9
primary care syndromic,Czechia,2023-W16,ARIconsultationrate,65+,431.7
primary care syndromic,Czechia,2023-W16,ARIconsultationrate,total,920.4
primary care syndromic,Czechia,2023-W15,ARIconsultationrate,0-4,2884.0
primary care syndromic,Czechia,2023-W15,ARIconsultationrate,15-64,653.7
primary care syndromic,Czechia,2023-W15,ARIconsultationrate,5-14,1822.0
primary care syndromic,Czechia,2023-W15,ARIconsultationrate,65+,432.5
primary care syndromic,Czechia,2023-W15,ARIconsultationrate,total,901.7
primary care syndromic,Czechia,2023-W14,ARIconsultationrate,0-4,2927.4
primary care syndromic,Czechia,2023-W14,ARIconsultationrate,15-64,639.3
primary care syndromic,Czechia,2023-W14,ARIconsultationrate,5-14,1903.7
primary care syndromic,Czechia,2023-W14,ARIconsultationrate,65+,408.7
primary care syndromic,Czechia,2023-W14,ARIconsultationrate,total,899.3
primary care syndromic,Czechia,2023-W13,ARIconsultationrate,0-4,3335.5
primary care syndromic,Czechia,2023-W13,ARIconsultationrate,15-64,786.4
primary care syndromic,Czechia,2023-W13,ARIconsultationrate,5-14,2186.2
primary care syndromic,Czechia,2023-W13,ARIconsultationrate,65+,484.5
primary care syndromic,Czechia,2023-W13,ARIconsultationrate,total,1064.3
primary care syndromic,Czechia,2023-W12,ARIconsultationrate,0-4,3446.8
primary care syndromic,Czechia,2023-W12,ARIconsultationrate,15-64,823.5
primary care syndromic,Czechia,2023-W12,ARIconsultationrate,5-14,2326.6
primary care syndromic,Czechia,2023-W12,ARIconsultationrate,65+,519.4
primary care syndromic,Czechia,2023-W12,ARIconsultationrate,total,1118.2
primary care syndromic,Czechia,2023-W11,ARIconsultationrate,0-4,3545.4
primary care syndromic,Czechia,2023-W11,ARIconsultationrate,15-64,869.6
primary care syndromic,Czechia,2023-W11,ARIconsultationrate,5-14,2338.2
primary care syndromic,Czechia,2023-W11,ARIconsultationrate,65+,557.3
primary care syndromic,Czechia,2023-W11,ARIconsultationrate,total,1164.0
primary care syndromic,Czechia,2023-W10,ARIconsultationrate,0-4,3514.8
primary care syndromic,Czechia,2023-W10,ARIconsultationrate,15-64,934.3
primary care syndromic,Czechia,2023-W10,ARIconsultationrate,5-14,2421.9
primary care syndromic,Czechia,2023-W10,ARIconsultationrate,65+,606.4
primary care syndromic,Czechia,2023-W10,ARIconsultationrate,total,1220.0
primary care syndromic,Czechia,2023-W09,ARIconsultationrate,0-4,3374.7
primary care syndromic,Czechia,2023-W09,ARIconsultationrate,15-64,930.8
primary care syndromic,Czechia,2023-W09,ARIconsultationrate,5-14,2304.6
primary care syndromic,Czechia,2023-W09,ARIconsultationrate,65+,605.3
primary care syndromic,Czechia,2023-W09,ARIconsultationrate,total,1195.1
primary care syndromic,Czechia,2023-W08,ARIconsultationrate,0-4,3451.2
primary care syndromic,Czechia,2023-W08,ARIconsultationrate,15-64,901.8
primary care syndromic,Czechia,2023-W08,ARIconsultationrate,5-14,2423.6
primary care syndromic,Czechia,2023-W08,ARIconsultationrate,65+,589.0
primary care syndromic,Czechia,2023-W08,ARIconsultationrate,total,1195.0
primary care syndromic,Czechia,2023-W07,ARIconsultationrate,0-4,3229.0
primary care syndromic,Czechia,2023-W07,ARIconsultationrate,15-64,837.9
primary care syndromic,Czechia,2023-W07,ARIconsultationrate,5-14,2184.5
primary care syndromic,Czechia,2023-W07,ARIconsultationrate,65+,543.0
primary care syndromic,Czechia,2023-W07,ARIconsultationrate,total,1101.2
primary care syndromic,Czechia,2023-W06,ARIconsultationrate,0-4,3407.1
primary care syndromic,Czechia,2023-W06,ARIconsultationrate,15-64,838.7
primary care syndromic,Czechia,2023-W06,ARIconsultationrate,5-14,2235.2
primary care syndromic,Czechia,2023-W06,ARIconsultationrate,65+,548.5
primary care syndromic,Czechia,2023-W06,ARIconsultationrate,total,1121.3
primary care syndromic,Czechia,2023-W05,ARIconsultationrate,0-4,3458.3
primary care syndromic,Czechia,2023-W05,ARIconsultationrate,15-64,855.1
primary care syndromic,Czechia,2023-W05,ARIconsultationrate,5-14,2296.9
primary care syndromic,Czechia,2023-W05,ARIconsultationrate,65+,563.0
primary care syndromic,Czechia,2023-W05,ARIconsultationrate,total,1145.2
primary care syndromic,Czechia,2023-W04,ARIconsultationrate,0-4,3484.7
