Price,Close,High,Low,Open,Volume
Ticker,EXV9.DE,EXV9.DE,EXV9.DE,EXV9.DE,EXV9.DE
Date,,,,,
2023-01-02,17.28760528564453,17.28760528564453,17.11239961560734,17.138494001461957,5552
2023-01-03,17.45908546447754,17.665977706339362,17.30624664710173,17.30624664710173,78283
2023-01-04,17.8896427154541,17.8896427154541,17.4889072472435,17.539231372811873,14793
2023-01-05,18.00893211364746,18.150588368036765,17.94928831050814,17.94928831050814,36319
2023-01-06,18.301565170288086,18.301565170288086,18.00334258531603,18.05739422899811,3169
2023-01-09,18.713485717773438,18.797361045285893,18.307156274377682,18.38544121692369,27606
2023-01-10,18.704164505004883,18.73678248774531,18.624016699894085,18.624016699894085,36963
2023-01-11,18.633337020874023,18.862596120013535,18.633337020874023,18.736783134721847,10685
2023-01-12,18.913854598999023,19.025688962954977,18.690187648634026,18.690187648634026,102131
2023-01-13,18.988407135009766,19.04432341904398,18.797358201808464,18.83929585922078,16505
2023-01-16,18.941669464111328,18.969674734497165,18.792300306121962,18.969674734497165,13623
2023-01-17,19.091039657592773,19.137716302187435,18.90899647023394,18.932336573131128,29225
2023-01-18,19.263742446899414,19.385102772731432,19.231068444536962,19.329090451624314,49787
2023-01-19,19.352432250976562,19.45045427569354,19.10037408976155,19.19372916213006,48912
2023-01-20,19.604490280151367,19.623161650619295,19.417780136671873,19.4364515071398,14135
2023-01-23,19.646499633789062,19.66517100393423,19.506467918900018,19.6418326815527,12491
2023-01-24,19.93589973449707,19.93589973449707,19.683841566872253,19.721184309009242,74564
2023-01-25,19.8798828125,20.02458323397593,19.739851123013363,20.01057881860759,26503
2023-01-26,19.87521743774414,20.04325441009819,19.837874701265676,19.940565445981772,36756
2023-01-27,19.85654640197754,19.85654640197754,19.725848602714226,19.777193975931986,23365
2023-01-30,19.61849021911621,19.669835590540345,19.53913957644229,19.61849021911621,14330
2023-01-31,19.497129440307617,19.56247744585288,19.380436064519756,19.56247744585288,9945
2023-02-01,19.51113510131836,19.749190621978062,19.478461093478774,19.590487535071553,10659
2023-02-02,20.365331649780273,20.365331649780273,19.77252899370536,19.77252899370536,62406
2023-02-03,20.346660614013672,20.346660614013672,20.057261490270804,20.257974273998897,39678
2023-02-06,20.169281005859375,20.187952371813015,19.98723963931004,20.117935639786598,6195
2023-02-07,20.024585723876953,20.2252984899847,19.94056634361791,20.2252984899847,79874
2023-02-08,20.12727165222168,20.26263638670213,20.113269017826976,20.18328575099948,9078
2023-02-09,19.931230545043945,20.17861995183586,19.931230545043945,20.17861995183586,94946
2023-02-10,19.114376068115234,19.837874670568993,19.053695011731467,19.837874670568993,324410
2023-02-13,19.436447143554688,19.44111587542346,19.165719454949098,19.165719454949098,26685
2023-02-14,19.641828536987305,19.75852190487169,19.41310875247014,19.669833805695887,186905
2023-02-15,19.903223037719727,19.940565774813997,19.557811622596287,19.557811622596287,11803
2023-02-16,19.9779109954834,20.21596654377173,19.83321230985724,19.99191541518277,21707
2023-02-17,20.038585662841797,20.06192398074984,19.87988260822779,19.92189229270207,10053
2023-02-20,19.996578216552734,20.052590541921308,19.93123020685611,20.052590541921308,13377
2023-02-21,20.113271713256836,20.164617087050996,19.884551897428228,19.963904324364584,4498
2023-02-22,19.93589973449707,20.010583438171096,19.819206336218908,20.005916485703946,13513
2023-02-23,20.085264205932617,20.085264205932617,19.982575241266098,20.01058051317529,3214
2023-02-24,19.445783615112305,20.12260553496692,19.445783615112305,20.12260553496692,15980
2023-02-27,19.931230545043945,19.949901914016852,19.618491346846852,19.632495763876406,43430
2023-02-28,19.842544555664062,19.921896991988916,19.772529585424422,19.823874965293456,47370
