Price,Close,High,Low,Open,Volume
Ticker,RYAAY,RYAAY,RYAAY,RYAAY,RYAAY
Date,,,,,
2023-01-03,28.544567108154297,29.15744102278253,28.333892898164883,29.107644868874864,492803
2023-01-04,31.501680374145508,31.509341320602182,28.847171555775756,28.847171555775756,1481407
2023-01-05,32.32905960083008,32.382686227123116,31.704692451846885,31.796623811206373,1404188
2023-01-06,33.301998138427734,33.36711618849135,32.12987688883033,32.386518615551644,849410
2023-01-09,33.7156867980957,34.17917411168622,33.7156867980957,34.014463744046616,1604108
2023-01-10,34.566043853759766,34.68861899530464,33.9799851097957,34.029781261048306,648740
2023-01-11,33.999141693115234,34.07575116608387,33.753991379615606,34.07575116608387,1117303
2023-01-12,35.24403762817383,35.301498383310786,34.62733503453054,34.772893030289914,636245
2023-01-13,35.447052001953125,35.554305259790965,34.90695889081736,35.067838777574124,760946
2023-01-17,36.067588806152344,36.197821253762136,35.06400839948665,35.339802491820095,1647341
2023-01-18,35.136783599853516,36.75706641415981,34.96441231076832,36.38934099744472,1758296
2023-01-19,35.55047607421875,35.93735391114963,35.18275425700055,35.3589523925698,1280738
2023-01-20,35.876068115234375,36.075252754044165,35.42790267791236,36.06759180639763,1361955
2023-01-23,36.28975296020508,36.38168432518344,35.60793232149659,35.65772847752654,642243
2023-01-24,36.427650451660156,36.70727502354413,36.17483919488834,36.30890577044915,541034
2023-01-25,36.975406646728516,37.16692666663916,36.62683356467452,36.940932385866034,526539
2023-01-26,36.62300109863281,36.695780089827124,36.025450927742675,36.57320494676302,609506
2023-01-27,36.65364456176758,36.84516822111943,36.33571528724351,36.38551143867499,540784
2023-01-30,35.117637634277344,35.89905063565521,34.891639680735075,35.5964432063359,1211015
2023-01-31,34.677127838134766,35.34745699698231,34.527739383246754,35.07932752437172,911135
2023-02-01,35.56962203979492,36.178663586262346,35.19040886993677,35.64240102572119,1025840
2023-02-02,36.38167953491211,36.6613040665706,35.96799209852622,36.36252716973002,804678
2023-02-03,36.316566467285156,36.400836885628195,35.60027156291703,35.68837245482112,1030588
2023-02-06,36.351036071777344,36.41232364090149,35.45087855181363,35.46236997102441,1154288
2023-02-07,36.96390914916992,37.08265381768152,35.998637211460704,36.125042826327885,1744552
2023-02-08,37.285667419433594,37.42739492139894,36.96774180981531,36.96774180981531,1565374
2023-02-09,36.59619140625,38.051764071029424,36.47361625106053,37.634246100213055,1761795
2023-02-10,35.7573127746582,35.84541364634817,35.00654378049928,35.39341786985182,1528139
2023-02-13,36.174835205078125,36.22463135622286,35.4968451064241,35.53514983807389,1338464
2023-02-14,36.76856231689453,36.92561173276679,36.00247125687024,36.071416129363996,1403438
2023-02-15,36.72259521484375,36.871983677826314,36.381683081370724,36.40083544841977,1413934
2023-02-16,36.17866516113281,36.58852578392739,36.102059350475514,36.58852578392739,966613
2023-02-17,36.109718322753906,36.19398873509404,35.90670689002741,36.12887068919485,1062575
2023-02-21,35.27851486206055,35.60027466926408,34.987402497567295,35.40492050060479,939124
2023-02-22,34.79204177856445,35.24020713993555,34.692449476037545,34.94526070552893,1046831
2023-02-23,35.72667694091797,35.891387302892674,34.79204505009758,35.68454173204072,1428678
2023-02-24,34.8188591003418,34.90695999349161,34.52008215835547,34.527743105585884,1551379
