Datum,EUR_USD_Kurs_return_5d,EUR_CHF_Kurs_return_5d,EUR_GPB_Kurs_return_5d,EUR_TRY_Kurs_return_5d
2023-01-10,0.610448242406889,0.29300541132869934,-0.7399392077402337,-0.0767485675384834
2023-01-11,2.0929815969467764,0.5054475329839581,0.5879880028989888,0.7752134621852568
2023-01-12,1.7394544124026494,2.2315397714329355,1.209928595223688,0.5728724801258684
2023-01-13,3.6781518760317327,3.0547529928470634,1.1595009796297935,1.3928859337349684
2023-01-16,1.8192831314932587,2.13859634320876,1.209928595223688,0.5515734293827749
2023-01-17,1.0438041460416254,1.9394318541569546,1.3275930316094418,0.26936100703678595
2023-01-18,0.5990441396796591,0.624946226415041,-0.9080312597198822,-0.08207333022425678
2023-01-19,0.35955798240783104,-1.6720842139824446,-1.9670111871916673,-0.2045428719970444
2023-01-20,-0.2562635648625837,-1.897803968241157,-2.6729978055061907,-0.4335076674852995
2023-01-23,0.4393867014984404,-0.4107091166543454,-1.714873109222195,-0.10337238096735028
2023-01-24,0.48500311240735994,0.027452759259625842,-1.5972086728364407,-0.30038860034096515
2023-01-25,1.0209959405871656,1.3419383870015393,0.9914089276501451,0.2746857697225593
2023-01-26,1.3289067142223727,1.7801002629155107,1.1426917744318286,0.4131295995526671
2023-01-27,0.6560646533158087,1.4481594478291688,0.7224616444827076,0.04039621154853084
2023-01-30,0.08585951695431338,0.2797277787252456,0.2854223093356217,-0.2684400242263249
2023-01-31,-0.2334553594081239,0.3328383091390603,0.16775787294986777,-0.2045428719970444
2023-02-01,-0.26766766758981364,-1.11442364463739,-0.0003341790297806711,-0.44948195554261966
2023-02-02,0.9639754269510159,-0.27793279061980863,1.8486783927463522,0.10429336377781134
2023-02-03,0.131475927863233,-0.7824828295510482,2.907658320218137,-0.2897390749694184
2023-02-06,-0.8264687012240789,-0.1318788319818182,3.781736990512309,-0.667797225659328
2023-02-07,-1.2484205021315855,-1.0613131142235752,2.689138652644594,-0.8488391569756228
2023-02-08,-1.3624615294038844,-0.7824828295510482,1.5629219043809497,-0.8967620211475833
2023-02-09,-3.0616728357611405,-1.565863153154815,-0.16842623100942913,-1.7008011866993629
2023-02-10,-1.6817764057663218,-0.6629841361199653,-0.9248404649178471,-1.077803952463878
2023-02-13,-1.179995885768206,-1.738472376999713,-1.7653007248160895,-0.8807877330902631
2023-02-14,0.017434900590933965,-1.2206447054650194,-1.6140178780344057,-0.30038860034096515
2023-02-15,0.08585951695431338,0.12039618748380156,-1.462735031252722,-0.26311526154055154
2023-02-16,-0.2334553594081239,0.1071185548803479,0.20137628334579744,-0.32701241376983203
2023-02-17,-0.7922563930423892,-0.23809989280944763,0.8569352860664263,-0.6464981749162345
2023-02-20,0.08585951695431338,0.41250410475978233,0.5207511821071295,-0.2311666854259113
2023-02-21,-0.4957497221344117,0.12039618748380156,0.9073629016603207,-0.4974048197145801
2023-02-22,-0.8720851121329986,-0.11860119937836458,-0.3197090777911127,-0.7583181913174755
2023-02-23,-0.8948933175874584,0.13367382008725523,-1.378689005262898,-0.7689677166890221
2023-02-24,-0.70102357122455,0.23989488091488465,-1.5635902624405111,-0.625199124173141
2023-02-27,-1.3624615294038844,0.5585580633977727,-0.8744128493239525,-0.9020867838333566
