Datum,DAX_Kurs_return_5d,VIX_Kurs_return_5d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_5d,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_5d,Expedia_Kurs_return_5d,Airbnb_Kurs_return_5d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_5d,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday,Inflation_Gesamt,Inflation_Restaurants_Hotels,Inflation_Transport,ECDC_Europa_Inzidenz,CentralEurope_Temp,HolidayDestination_Temp,CentralEurope_Sunshine,HolidayDestination_Sunshine,CentralEurope_Precipitation,HolidayDestination_Precipitation,EUR_USD_Kurs_return_5d,EUR_CHF_Kurs_return_5d,EUR_GPB_Kurs_return_5d,EUR_TRY_Kurs_return_5d
2023-01-10,2.2437555628985693,-0.7049176651652967,-0.6157288158365353,-0.5587874262519719,1.328290513068189,4.781105772942273,3.728878986169298,1.543030351281349,2.3118602018148295,1.263034212609243,0.7267114593710098,0.961778755238061,1.073578483105389,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.9483475694747361,-1.272665118659537,-1.346872549471089,-0.8497946812352061,0.11102531796837516,-0.21436053870721247,0.6104482424068889,0.2930054113286994,-0.7399392077402341,-0.07674856753848311
2023-01-11,1.6433602879061258,-0.32416424212496237,1.5655873736371273,1.4635863853095965,0.6938780497293092,1.7397162536387112,2.0513673817983853,0.6925360606189453,1.2418529054407874,1.4644623757012956,1.145663739100085,1.63968871850885,1.6872477074351262,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.7590543839803742,-1.1828278326017534,-1.0379925073507437,-2.0380268661721272,0.9124644364537235,3.9952781638510597,2.092981596946776,0.5054475329839582,0.5879880028989891,0.7752134621852577
2023-01-12,2.3195336073150914,-1.0907904619607953,1.7118490372087718,1.4964323636876269,0.6642556779002564,1.991433381660039,2.1830560947018993,0.7710432259108594,1.1837904940096378,1.776408645976598,2.278386569478695,2.1943423248213136,2.168334074656587,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.49695612714202675,-1.3625024047173206,-1.4498325635112042,-1.3250875552099743,1.5681873515780993,4.278279085031448,1.7394544124026492,2.2315397714329355,1.209928595223689,0.5728724801258691
2023-01-13,1.7074801716431827,-0.8988139461421393,2.1531557807439055,1.9304685065401672,1.3431016989827156,1.395625867627906,3.1028511048279794,1.8720127582188941,1.2916206866674869,2.1168757181056423,2.491741897118502,1.552111833301619,1.6607311360134707,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.4587959956014316,-0.5843222127548092,-1.3325566426980595,-0.7548524687404268,-1.99841912667423,-0.07111993623284035,0.24551595821091818,3.678151876031732,3.0547529928470634,1.1595009796297944,1.3928859337349695
2023-01-16,1.1537175393685988,-1.1112679569814519,1.782458116174393,1.6372008424506128,1.1653674680083987,1.0954127791621024,2.6470055601619706,2.2271642202537443,0.9073028205279732,2.1899602728558563,2.313299259456118,1.740239957080115,2.0205988910216504,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.1958848120442866,-1.1678549515921228,-0.9092924898005997,-1.4043030342057692,0.6574610805720217,-0.14361030841211544,1.8192831314932585,2.13859634320876,1.209928595223689,0.5515734293827756
2023-01-17,1.433513395675757,-0.4361505430191783,1.8328931725784083,1.5738550270072693,1.333227575039698,0.9106662631831466,2.1202507085479154,2.5729695911824138,1.150611973191838,2.090137466367759,2.683761691994328,1.4320990646843021,1.7024000339617866,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.4288610403450395,-0.9432617364476636,-0.7033724617203695,-1.1270488577204876,-0.326123292114542,0.9530182611618883,1.0438041460416252,1.9394318541569548,1.3275930316094429,0.2693610070367865
2023-01-18,0.7165365138886639,-0.2844890955224401,0.7031479091284654,0.6189755127316794,2.525528041159071,0.6820424496591887,2.3471604907816626,2.830921705712989,0.6335800237811252,0.6801403247233921,1.2639789662457959,0.04384325473263854,-0.24088584308238206,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.5890321973018076,-1.34752952370769,-1.0379925073507437,-1.2062643367162824,0.0745962671281322,1.0945187217520824,0.599044139679659,0.6249462264150412,-0.9080312597198825,-0.08207333022425649
2023-01-19,-0.729075410364987,0.5179727405995419,0.6375823358032453,0.5720526864773507,2.3601364651135266,0.10932825012442537,0.7527140745498895,1.903789467979907,0.46215766622249316,0.5411014156864002,0.014880502609109197,-0.01454133540551552,-0.2522500879773772,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.661837268645793,-1.4523396907751045,-0.7291124652303982,-0.7705792022394109,-0.28969424127429894,-0.461986344740052,0.359557982407831,-1.6720842139824446,-1.9670111871916685,-0.2045428719970442
2023-01-20,-0.3968178310002366,0.4661390813285048,0.695582650667863,0.41955350115078227,2.3502623411705086,0.18784551941548164,0.7648699557409829,1.3467624380515635,0.2603216645808779,0.7229215275040051,0.07112872535051279,0.8028429265286415,0.24020052413907877,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,1.0441972109949285,-1.8074474113337637,-1.34752952370769,-0.8835524862905708,-1.483518513201564,0.366028673850077,-0.21436053870721247,-0.2562635648625837,-1.897803968241157,-2.672997805506192,-0.4335076674852995
2023-01-23,-0.3152107062439821,0.45270072522119886,0.8594965839809129,0.5087068710340069,2.2663322876548593,0.45803729903470464,0.2563489259135687,1.0289953404414347,0.948775971550223,1.4680274759330132,0.8314495293032786,1.227752999200763,0.596280197515593,-0.15633271741259055,-0.18125730177177748,-0.5845329474144901,-0.3219473514410062,-0.2979003000075508,-0.10987463131972675,-1.9366673203685911,-1.616130703269812,-1.3710129775527198,0.8914502903504273,-1.5599101687642132,-1.8416345970255006,-1.6814925951014634,-0.7705792022394109,-0.9089881055584317,-0.320485884149858,0.43938670149844034,-0.41070911665434534,-1.7148731092221958,-0.10337238096734999
